0.0000,0.0000,0.0000,
5.0000,0.0000,-3.7500,22.4537,
10.0000,0.0000,-7.5000,16.2269,
15.0000,0.0000,-11.2500,10.4780,
20.0000,0.0000,-15.0000,9.2991,
25.0000,0.0000,-18.7500,6.5144,
30.0000,0.0000,-22.5000,6.5709,
35.0000,0.0000,-26.2500,6.0023,
40.0000,0.0000,-30.0000,5.6696,
45.0000,0.0000,-33.7500,4.9760,
50.0000,0.0000,-37.5000,4.8960,
55.0000,0.0000,-41.2500,4.5272,
60.0000,0.0000,-45.0000,4.5922,
70.0000,0.0000,-52.5000,4.7944,
75.0000,0.0000,-56.2500,5.4256,
80.0000,0.0000,-60.0000,4.8232,
85.0000,0.0000,-63.7500,5.2263,
90.0000,0.0000,-67.5000,4.9921,
95.0000,0.0000,-71.2500,5.5090,
100.0000,0.0000,-75.0000,6.2323,
105.0000,0.0000,-78.7500,6.0354,
110.0000,0.0000,-82.5000,6.5416,
115.0000,0.0000,-86.2500,6.6933,
120.0000,0.0000,-90.0000,6.6423,
125.0000,0.0000,-93.7500,6.6061,
130.0000,0.0000,-97.5000,5.9896,
135.0000,0.0000,-101.2500,6.6921,
140.0000,0.0000,-105.0000,8.2042,
145.0000,0.0000,-108.7500,10.0633,
150.0000,0.0000,-112.5000,11.0549,
155.0000,0.0000,-116.2500,10.8216,
5.0000,0.0000,0.0000,
10.0000,0.0000,-3.7500,24.1249,
15.0000,0.0000,-7.5000,13.9861,
20.0000,0.0000,-11.2500,10.7868,
25.0000,0.0000,-15.0000,6.9882,
30.0000,0.0000,-18.7500,7.1323,
40.0000,0.0000,-26.2500,7.0239,
45.0000,0.0000,-30.0000,5.2101,
50.0000,0.0000,-33.7500,5.0159,
55.0000,0.0000,-37.5000,4.4686,
60.0000,0.0000,-41.2500,4.4780,
70.0000,0.0000,-48.7500,4.6708,
75.0000,0.0000,-52.5000,5.2386,
80.0000,0.0000,-56.2500,5.3016,
85.0000,0.0000,-60.0000,5.1179,
90.0000,0.0000,-63.7500,4.8082,
95.0000,0.0000,-67.5000,5.2041,
100.0000,0.0000,-71.2500,5.9607,
105.0000,0.0000,-75.0000,6.1667,
110.0000,0.0000,-78.7500,5.5451,
115.0000,0.0000,-82.5000,6.6619,
120.0000,0.0000,-86.2500,6.5045,
125.0000,0.0000,-90.0000,6.2740,
130.0000,0.0000,-93.7500,5.2713,
135.0000,0.0000,-97.5000,6.7265,
140.0000,0.0000,-101.2500,7.3613,
145.0000,0.0000,-105.0000,7.4470,
