X ,Y ,Z ,AO ,Res ,A ,B ,M ,N 
   74.5000,    0.0000,   -1.1250,    2.2500,  9.544922,     3, 10000,     2,     1,
   73.0000,    0.0000,   -1.1250,    2.2500, 10.348852,     4, 10000,     3,     2,
   71.5000,    0.0000,   -1.1250,    2.2500, 13.501424,     5, 10000,     4,     3,
   73.0000,    0.0000,   -2.2500,    4.5000, 11.151856,     5, 10000,     3,     1,
   70.0000,    0.0000,   -1.1250,    2.2500, 11.430749,     6, 10000,     5,     4,
   71.5000,    0.0000,   -2.2500,    4.5000, 12.812772,     6, 10000,     4,     2,
   68.5000,    0.0000,   -1.1250,    2.2500, 14.217980,     7, 10000,     6,     5,
   70.0000,    0.0000,   -2.2500,    4.5000, 12.841923,     7, 10000,     5,     3,
   71.5000,    0.0000,   -3.3750,    6.7500, 13.660552,     7, 10000,     4,     1,
   67.0000,    0.0000,   -1.1250,    2.2500, 16.043507,     8, 10000,     7,     6,
   68.5000,    0.0000,   -2.2500,    4.5000, 14.529539,     8, 10000,     6,     4,
   70.0000,    0.0000,   -3.3750,    6.7500, 15.519161,     8, 10000,     5,     2,
   65.5000,    0.0000,   -1.1250,    2.2500, 10.054303,     9, 10000,     8,     7,
   67.0000,    0.0000,   -2.2500,    4.5000, 13.506533,     9, 10000,     7,     5,
   68.5000,    0.0000,   -3.3750,    6.7500, 15.249668,     9, 10000,     6,     3,
   70.0000,    0.0000,   -4.5000,    9.0000, 15.877051,     9, 10000,     5,     1,
   64.0000,    0.0000,   -1.1250,    2.2500, 12.194408,    10, 10000,     9,     8,
   65.5000,    0.0000,   -2.2500,    4.5000, 10.167233,    10, 10000,     8,     6,
   67.0000,    0.0000,   -3.3750,    6.7500, 13.932431,    10, 10000,     7,     4,
   68.5000,    0.0000,   -4.5000,    9.0000, 16.439098,    10, 10000,     6,     2,
   62.5000,    0.0000,   -1.1250,    2.2500, 15.060921,    11, 10000,    10,     9,
   64.0000,    0.0000,   -2.2500,    4.5000, 12.187793,    11, 10000,     9,     7,
   65.5000,    0.0000,   -3.3750,    6.7500, 12.275492,    11, 10000,     8,     5,
   67.0000,    0.0000,   -4.5000,    9.0000, 15.922877,    11, 10000,     7,     3,
   68.5000,    0.0000,   -5.6250,   11.2500, 16.994528,    11, 10000,     6,     1,
   61.0000,    0.0000,   -1.1250,    2.2500,  8.230141,    12, 10000,    11,    10,
   62.5000,    0.0000,   -2.2500,    4.5000, 10.334045,    12, 10000,    10,     8,
   64.0000,    0.0000,   -3.3750,    6.7500, 10.810412,    12, 10000,     9,     6,
   65.5000,    0.0000,   -4.5000,    9.0000, 11.694623,    12, 10000,     8,     4,
   67.0000,    0.0000,   -5.6250,   11.2500, 14.845989,    12, 10000,     7,     2,
   59.5000,    0.0000,   -1.1250,    2.2500, 19.310011,    13, 10000,    12,    11,
   61.0000,    0.0000,   -2.2500,    4.5000,  9.157360,    13, 10000,    11,     9,
   62.5000,    0.0000,   -3.3750,    6.7500, 11.324085,    13, 10000,    10,     7,
   64.0000,    0.0000,   -4.5000,    9.0000, 12.699276,    13, 10000,     9,     5,
   65.5000,    0.0000,   -5.6250,   11.2500, 13.689832,    13, 10000,     8,     3,
   67.0000,    0.0000,   -6.7500,   13.5000, 15.540872,    13, 10000,     7,     1,
   58.0000,    0.0000,   -1.1250,    2.2500,  8.907499,    14, 10000,    13,    12,
   59.5000,    0.0000,   -2.2500,    4.5000,  6.718120,    14, 10000,    12,    10,
   61.0000,    0.0000,   -3.3750,    6.7500,  8.322058,    14, 10000,    11,     8,
   62.5000,    0.0000,   -4.5000,    9.0000,  9.885256,    14, 10000,    10,     6,
   64.0000,    0.0000,   -5.6250,   11.2500, 11.042542,    14, 10000,     9,     4,
   65.5000,    0.0000,   -6.7500,   13.5000, 11.764640,    14, 10000,     8,     2,
   56.5000,    0.0000,   -1.1250,    2.2500, 18.653952,    15, 10000,    14,    13,
   58.0000,    0.0000,   -2.2500,    4.5000,  8.997917,    15, 10000,    13,    11,
   59.5000,    0.0000,   -3.3750,    6.7500,  9.273275,    15, 10000,    12,     9,
   61.0000,    0.0000,   -4.5000,    9.0000, 12.127007,    15, 10000,    11,     7,
   62.5000,    0.0000,   -5.6250,   11.2500, 14.406822,    15, 10000,    10,     5,
   64.0000,    0.0000,   -6.7500,   13.5000, 15.896628,    15, 10000,     9,     3,
   65.5000,    0.0000,   -7.8750,   15.7500, 15.777248,    15, 10000,     8,     1,
   55.0000,    0.0000,   -1.1250,    2.2500, 21.430164,    16, 10000,    15,    14,
   56.5000,    0.0000,   -2.2500,    4.5000,  9.039786,    16, 10000,    14,    12,
   58.0000,    0.0000,   -3.3750,    6.7500,  8.924107,    16, 10000,    13,    10,
   59.5000,    0.0000,   -4.5000,    9.0000, 10.734344,    16, 10000,    12,     8,
   61.0000,    0.0000,   -5.6250,   11.2500, 13.147583,    16, 10000,    11,     6,
   62.5000,    0.0000,   -6.7500,   13.5000, 15.412706,    16, 10000,    10,     4,
   64.0000,    0.0000,   -7.8750,   15.7500, 16.412195,    16, 10000,     9,     2,
   53.5000,    0.0000,   -1.1250,    2.2500, 46.493683,    17, 10000,    16,    15,
   55.0000,    0.0000,   -2.2500,    4.5000, 11.666115,    17, 10000,    15,    13,
   56.5000,    0.0000,   -3.3750,    6.7500,  8.246850,    17, 10000,    14,    11,
   58.0000,    0.0000,   -4.5000,    9.0000, 10.132421,    17, 10000,    13,     9,
   59.5000,    0.0000,   -5.6250,   11.2500, 11.041453,    17, 10000,    12,     7,
   61.0000,    0.0000,   -6.7500,   13.5000, 13.453961,    17, 10000,    11,     5,
   62.5000,    0.0000,   -7.8750,   15.7500, 15.527653,    17, 10000,    10,     3,
   64.0000,    0.0000,   -9.0000,   18.0000, 15.381136,    17, 10000,     9,     1,
   52.0000,    0.0000,   -1.1250,    2.2500, 41.243923,    18, 10000,    17,    16,
   53.5000,    0.0000,   -2.2500,    4.5000, 12.505443,    18, 10000,    16,    14,
   55.0000,    0.0000,   -3.3750,    6.7500, 10.934098,    18, 10000,    15,    12,
   56.5000,    0.0000,   -4.5000,    9.0000,  9.235687,    18, 10000,    14,    10,
   58.0000,    0.0000,   -5.6250,   11.2500, 12.072297,    18, 10000,    13,     8,
   59.5000,    0.0000,   -6.7500,   13.5000, 12.519071,    18, 10000,    12,     6,
   61.0000,    0.0000,   -7.8750,   15.7500, 15.563764,    18, 10000,    11,     4,
   62.5000,    0.0000,   -9.0000,   18.0000, 17.522545,    18, 10000,    10,     2,
   50.5000,    0.0000,   -1.1250,    2.2500, 68.236961,    19, 10000,    18,    17,
   52.0000,    0.0000,   -2.2500,    4.5000, 18.446447,    19, 10000,    17,    15,
