74.0000,0.0000,0.0000,
72.5000,0.0000,-1.1250,8.8019,
71.0000,0.0000,-2.2500,11.3248,
69.5000,0.0000,-3.3750,7.4656,
68.0000,0.0000,-4.5000,8.0272,
66.5000,0.0000,-5.6250,12.1004,
65.0000,0.0000,-6.7500,15.0150,
63.5000,0.0000,-7.8750,17.0550,
62.0000,0.0000,-9.0000,17.7643,
60.5000,0.0000,-10.1250,18.5071,
59.0000,0.0000,-11.2500,17.7767,
57.5000,0.0000,-12.3750,17.1419,
56.0000,0.0000,-13.5000,15.7467,
54.5000,0.0000,-14.6250,14.8561,
53.0000,0.0000,-15.7500,14.3148,
51.5000,0.0000,-16.8750,13.6769,
50.0000,0.0000,-18.0000,13.4103,
48.5000,0.0000,-19.1250,12.0610,
47.0000,0.0000,-20.2500,10.8722,
45.5000,0.0000,-21.3750,10.9461,
44.0000,0.0000,-22.5000,11.3322,
42.5000,0.0000,-23.6250,9.2209,
41.0000,0.0000,-24.7500,8.8058,
39.5000,0.0000,-25.8750,10.0005,
72.5000,0.0000,0.0000,
71.0000,0.0000,-1.1250,16.1809,
69.5000,0.0000,-2.2500,7.0513,
68.0000,0.0000,-3.3750,6.5104,
66.5000,0.0000,-4.5000,11.2097,
65.0000,0.0000,-5.6250,14.4935,
63.5000,0.0000,-6.7500,17.2069,
62.0000,0.0000,-7.8750,18.2365,
60.5000,0.0000,-9.0000,18.6898,
59.0000,0.0000,-10.1250,18.8591,
57.5000,0.0000,-11.2500,17.7278,
56.0000,0.0000,-12.3750,16.7753,
54.5000,0.0000,-13.5000,15.1361,
53.0000,0.0000,-14.6250,14.7311,
51.5000,0.0000,-15.7500,14.2650,
50.0000,0.0000,-16.8750,13.8193,
48.5000,0.0000,-18.0000,12.3946,
47.0000,0.0000,-19.1250,11.0378,
45.5000,0.0000,-20.2500,11.3715,
44.0000,0.0000,-21.3750,11.4393,
42.5000,0.0000,-22.5000,9.2693,
41.0000,0.0000,-23.6250,9.0457,
39.5000,0.0000,-24.7500,10.7248,
38.0000,0.0000,-25.8750,11.4090,
71.0000,0.0000,0.0000,
72.5000,0.0000,-1.1250,6.7584,
69.5000,0.0000,-1.1250,12.2437,
68.0000,0.0000,-2.2500,5.3324,
66.5000,0.0000,-3.3750,11.2466,
65.0000,0.0000,-4.5000,14.5264,
63.5000,0.0000,-5.6250,17.3579,
62.0000,0.0000,-6.7500,19.1653,
60.5000,0.0000,-7.8750,19.4662,
59.0000,0.0000,-9.0000,20.4946,
57.5000,0.0000,-10.1250,19.3827,
56.0000,0.0000,-11.2500,18.4893,
54.5000,0.0000,-12.3750,16.2708,
53.0000,0.0000,-13.5000,16.4559,
51.5000,0.0000,-14.6250,15.2623,
50.0000,0.0000,-15.7500,14.9210,
48.5000,0.0000,-16.8750,13.1284,
47.0000,0.0000,-18.0000,11.5347,
45.5000,0.0000,-19.1250,11.5517,
44.0000,0.0000,-20.2500,12.1172,
42.5000,0.0000,-21.3750,12.2043,
41.0000,0.0000,-22.5000,9.2174,
39.5000,0.0000,-23.6250,10.2251,
38.0000,0.0000,-24.7500,11.7331,
69.5000,0.0000,0.0000,
71.0000,0.0000,-1.1250,6.1068,
68.0000,0.0000,-1.1250,1.8995,
66.5000,0.0000,-2.2500,11.2407,
65.0000,0.0000,-3.3750,13.1972,
63.5000,0.0000,-4.5000,16.0065,
62.0000,0.0000,-5.6250,18.6140,
60.5000,0.0000,-6.7500,19.3606,
59.0000,0.0000,-7.8750,20.1225,
57.5000,0.0000,-9.0000,20.1317,
56.0000,0.0000,-10.1250,18.6620,
54.5000,0.0000,-11.2500,16.9530,
53.0000,0.0000,-12.3750,16.3128,
51.5000,0.0000,-13.5000,15.3936,
