X	Y	P
0.0000 -3.4875 94.1057
0.6975 -3.4875 93.9413
1.3950 -3.4875 94.3753
2.0925 -3.4875 96.1263
2.7900 -3.4875 98.3938
3.4875 -3.4875 99.8080
4.1850 -3.4875 100.8782
4.8825 -3.4875 101.4492
5.5800 -3.4875 102.3349
6.2775 -3.4875 98.1219
6.9750 -3.4875 100.3371
7.6725 -3.4875 101.8920
8.3700 -3.4875 101.0246
9.0675 -3.4875 100.0799
9.7650 -3.4875 100.6526
10.4625 -3.4875 102.1253
11.1600 -3.4875 102.2690
11.8575 -3.4875 101.1306
12.5550 -3.4875 100.5846
13.2525 -3.4875 101.1736
13.9500 -3.4875 101.8644
14.6475 -3.4875 102.3363
15.3450 -3.4875 102.8098
16.0425 -3.4875 102.1811
16.7400 -3.4875 101.6266
17.4375 -3.4875 101.9543
18.1350 -3.4875 102.4799
18.8325 -3.4875 101.8589
19.5300 -3.4875 100.3285
20.2275 -3.4875 99.5090
20.9250 -3.4875 99.9464
21.6225 -3.4875 99.6285
22.3200 -3.4875 94.9401
23.0175 -3.4875 90.1313
23.7150 -3.4875 90.3786
24.4125 -3.4875 90.7098
25.1100 -3.4875 97.8569
25.8075 -3.4875 106.2323
26.5050 -3.4875 109.1438
27.2025 -3.4875 109.3387
27.9000 -3.4875 106.5235
28.5975 -3.4875 100.9445
29.2950 -3.4875 97.7691
29.9925 -3.4875 99.0212
30.6900 -3.4875 100.9148
31.3875 -3.4875 105.3993
32.0850 -3.4875 109.7265
32.7825 -3.4875 107.0734
33.4800 -3.4875 104.4199
34.1775 -3.4875 102.5519
34.8750 -3.4875 100.8319
35.5725 -3.4875 96.6313
36.2700 -3.4875 91.3256
36.9675 -3.4875 90.9306
37.6650 -3.4875 94.8876
38.3625 -3.4875 97.2926
39.0600 -3.4875 97.1035
39.7575 -3.4875 96.0986
40.4550 -3.4875 92.0361
41.1525 -3.4875 88.9662
41.8500 -3.4875 100.5404
42.5475 -3.4875 112.1159
43.2450 -3.4875 105.8525
43.9425 -3.4875 97.7311
44.6400 -3.4875 92.3654
45.3375 -3.4875 87.8046
46.0350 -3.4875 87.2534
46.7325 -3.4875 89.7478
47.4300 -3.4875 85.8873
48.1275 -3.4875 73.7975
48.8250 -3.4875 69.8317
49.5225 -3.4875 86.7813
50.2200 -3.4875 101.7691
50.9175 -3.4875 101.8754
