X ,Y ,Z ,AO ,Res ,A ,B ,M ,N 
   74.5000,    0.0000,   -1.1250,    2.2500, 39.610237,     3, 10000,     2,     1,
   73.0000,    0.0000,   -1.1250,    2.2500, 32.252522,     4, 10000,     3,     2,
   71.5000,    0.0000,   -1.1250,    2.2500, 13.268407,     5, 10000,     4,     3,
   73.0000,    0.0000,   -2.2500,    4.5000,  6.146011,     5, 10000,     3,     1,
   70.0000,    0.0000,   -1.1250,    2.2500, 42.021843,     6, 10000,     5,     4,
   71.5000,    0.0000,   -2.2500,    4.5000, 13.196404,     6, 10000,     4,     2,
   68.5000,    0.0000,   -1.1250,    2.2500, 45.787533,     7, 10000,     6,     5,
   70.0000,    0.0000,   -2.2500,    4.5000, 22.270603,     7, 10000,     5,     3,
   71.5000,    0.0000,   -3.3750,    6.7500, 16.580778,     7, 10000,     4,     1,
   67.0000,    0.0000,   -1.1250,    2.2500, 20.732002,     8, 10000,     7,     6,
   68.5000,    0.0000,   -2.2500,    4.5000, 10.721749,     8, 10000,     6,     4,
   70.0000,    0.0000,   -3.3750,    6.7500,  9.074526,     8, 10000,     5,     2,
   65.5000,    0.0000,   -1.1250,    2.2500, 72.873291,     9, 10000,     8,     7,
   67.0000,    0.0000,   -2.2500,    4.5000, 19.856245,     9, 10000,     7,     5,
   68.5000,    0.0000,   -3.3750,    6.7500, 14.416151,     9, 10000,     6,     3,
   70.0000,    0.0000,   -4.5000,    9.0000, 14.104332,     9, 10000,     5,     1,
   64.0000,    0.0000,   -1.1250,    2.2500, 91.723969,    10, 10000,     9,     8,
   65.5000,    0.0000,   -2.2500,    4.5000, 29.538889,    10, 10000,     8,     6,
   67.0000,    0.0000,   -3.3750,    6.7500, 15.386762,    10, 10000,     7,     4,
   68.5000,    0.0000,   -4.5000,    9.0000, 13.534445,    10, 10000,     6,     2,
   62.5000,    0.0000,   -1.1250,    2.2500, 68.488510,    11, 10000,    10,     9,
   64.0000,    0.0000,   -2.2500,    4.5000, 38.778522,    11, 10000,     9,     7,
   65.5000,    0.0000,   -3.3750,    6.7500,  9.816512,    11, 10000,     8,     5,
   67.0000,    0.0000,   -4.5000,    9.0000, 11.466117,    11, 10000,     7,     3,
   68.5000,    0.0000,   -5.6250,   11.2500, 11.997667,    11, 10000,     6,     1,
   61.0000,    0.0000,   -1.1250,    2.2500, 32.390430,    12, 10000,    11,    10,
   62.5000,    0.0000,   -2.2500,    4.5000, 16.225756,    12, 10000,    10,     8,
