76.0000,0.0000,0.0000,
74.5000,0.0000,-1.1250,85.2429,
73.0000,0.0000,-2.2500,13.8698,
71.5000,0.0000,-3.3750,8.6021,
70.0000,0.0000,-4.5000,10.5169,
68.5000,0.0000,-5.6250,8.6952,
67.0000,0.0000,-6.7500,6.3663,
65.5000,0.0000,-7.8750,4.7665,
64.0000,0.0000,-9.0000,2.0386,
62.5000,0.0000,-10.1250,0.0268,
61.0000,0.0000,-11.2500,1.8764,
59.5000,0.0000,-12.3750,4.1517,
58.0000,0.0000,-13.5000,6.5701,
56.5000,0.0000,-14.6250,5.5087,
55.0000,0.0000,-15.7500,5.9879,
53.5000,0.0000,-16.8750,5.5422,
52.0000,0.0000,-18.0000,5.4709,
50.5000,0.0000,-19.1250,2.2673,
49.0000,0.0000,-20.2500,3.4558,
47.5000,0.0000,-21.3750,5.1544,
46.0000,0.0000,-22.5000,6.1815,
44.5000,0.0000,-23.6250,10.7301,
43.0000,0.0000,-24.7500,18.6211,
74.5000,0.0000,0.0000,
73.0000,0.0000,-1.1250,29.3183,
71.5000,0.0000,-2.2500,8.9817,
70.0000,0.0000,-3.3750,8.5704,
68.5000,0.0000,-4.5000,9.3464,
67.0000,0.0000,-5.6250,7.0705,
65.5000,0.0000,-6.7500,4.6334,
64.0000,0.0000,-7.8750,2.3873,
62.5000,0.0000,-9.0000,0.2453,
61.0000,0.0000,-10.1250,1.5324,
59.5000,0.0000,-11.2500,4.4252,
58.0000,0.0000,-12.3750,6.6438,
56.5000,0.0000,-13.5000,6.0411,
55.0000,0.0000,-14.6250,6.4133,
53.5000,0.0000,-15.7500,5.4451,
52.0000,0.0000,-16.8750,6.1080,
50.5000,0.0000,-18.0000,2.3687,
49.0000,0.0000,-19.1250,4.0857,
47.5000,0.0000,-20.2500,5.6629,
46.0000,0.0000,-21.3750,5.7186,
44.5000,0.0000,-22.5000,8.4835,
43.0000,0.0000,-23.6250,10.1285,
41.5000,0.0000,-24.7500,27.8855,
73.0000,0.0000,0.0000,
74.5000,0.0000,-1.1250,28.0052,
71.5000,0.0000,-1.1250,21.3894,
70.0000,0.0000,-2.2500,11.7527,
68.5000,0.0000,-3.3750,10.8420,
67.0000,0.0000,-4.5000,11.4405,
65.5000,0.0000,-5.6250,6.0482,
64.0000,0.0000,-6.7500,2.2580,
62.5000,0.0000,-7.8750,1.2368,
61.0000,0.0000,-9.0000,2.9837,
59.5000,0.0000,-10.1250,7.3740,
58.0000,0.0000,-11.2500,9.5717,
56.5000,0.0000,-12.3750,9.0674,
55.0000,0.0000,-13.5000,9.4528,
53.5000,0.0000,-14.6250,7.5252,
52.0000,0.0000,-15.7500,8.8623,
50.5000,0.0000,-16.8750,2.2229,
49.0000,0.0000,-18.0000,3.6214,
47.5000,0.0000,-19.1250,3.9208,
46.0000,0.0000,-20.2500,4.4402,
44.5000,0.0000,-21.3750,6.2223,
43.0000,0.0000,-22.5000,10.0936,
41.5000,0.0000,-23.6250,15.1530,
71.5000,0.0000,0.0000,
73.0000,0.0000,-1.1250,25.6437,
70.0000,0.0000,-1.1250,29.5111,
68.5000,0.0000,-2.2500,12.8340,
67.0000,0.0000,-3.3750,15.4207,
65.5000,0.0000,-4.5000,8.5677,
64.0000,0.0000,-5.6250,2.8952,
62.5000,0.0000,-6.7500,1.4416,
61.0000,0.0000,-7.8750,5.4607,
59.5000,0.0000,-9.0000,9.0593,
58.0000,0.0000,-10.1250,12.2748,
56.5000,0.0000,-11.2500,10.8313,
55.0000,0.0000,-12.3750,11.7455,
53.5000,0.0000,-13.5000,9.1334,
52.0000,0.0000,-14.6250,8.7292,
50.5000,0.0000,-15.7500,3.2683,
49.0000,0.0000,-16.8750,2.9724,
47.5000,0.0000,-18.0000,3.6991,
46.0000,0.0000,-19.1250,4.2867,
44.5000,0.0000,-20.2500,5.8620,
43.0000,0.0000,-21.3750,8.3278,
41.5000,0.0000,-22.5000,8.9637,
40.0000,0.0000,-23.6250,22.8374,
70.0000,0.0000,0.0000,
71.5000,0.0000,-1.1250,33.3343,
73.0000,0.0000,-2.2500,13.4901,
68.5000,0.0000,-1.1250,18.1182,
67.0000,0.0000,-2.2500,13.9057,
65.5000,0.0000,-3.3750,11.3738,
64.0000,0.0000,-4.5000,1.9941,
62.5000,0.0000,-5.6250,2.9845,
61.0000,0.0000,-6.7500,2.8742,
59.5000,0.0000,-7.8750,9.7932,
