0.0000,0.0000,0.0000,
3.0000,0.0000,-2.2500,8.0934,
6.0000,0.0000,-4.5000,5.1871,
9.0000,0.0000,-6.7500,2.8959,
12.0000,0.0000,-9.0000,1.1938,
15.0000,0.0000,-11.2500,0.7482,
18.0000,0.0000,-13.5000,1.0673,
21.0000,0.0000,-15.7500,1.5960,
24.0000,0.0000,-18.0000,1.7096,
27.0000,0.0000,-20.2500,1.7156,
30.0000,0.0000,-22.5000,1.9364,
33.0000,0.0000,-24.7500,1.7786,
36.0000,0.0000,-27.0000,1.8490,
39.0000,0.0000,-29.2500,1.7307,
42.0000,0.0000,-31.5000,1.3995,
45.0000,0.0000,-33.7500,1.3885,
48.0000,0.0000,-36.0000,1.3790,
51.0000,0.0000,-38.2500,0.8864,
54.0000,0.0000,-40.5000,1.2298,
57.0000,0.0000,-42.7500,1.5991,
60.0000,0.0000,-45.0000,1.7591,
63.0000,0.0000,-47.2500,1.4109,
66.0000,0.0000,-49.5000,1.3870,
69.0000,0.0000,-51.7500,0.8467,
72.0000,0.0000,-54.0000,0.6199,
75.0000,0.0000,-56.2500,1.7335,
78.0000,0.0000,-58.5000,1.5138,
81.0000,0.0000,-60.7500,1.7560,
84.0000,0.0000,-63.0000,1.0635,
90.0000,0.0000,-67.5000,1.5053,
3.0000,0.0000,0.0000,
6.0000,0.0000,-2.2500,8.9302,
9.0000,0.0000,-4.5000,4.8162,
12.0000,0.0000,-6.7500,1.5800,
15.0000,0.0000,-9.0000,0.9867,
18.0000,0.0000,-11.2500,1.1023,
21.0000,0.0000,-13.5000,1.6980,
24.0000,0.0000,-15.7500,2.1634,
27.0000,0.0000,-18.0000,2.5775,
30.0000,0.0000,-20.2500,2.8545,
33.0000,0.0000,-22.5000,2.6294,
36.0000,0.0000,-24.7500,2.5734,
39.0000,0.0000,-27.0000,2.4969,
42.0000,0.0000,-29.2500,2.1087,
48.0000,0.0000,-33.7500,1.9593,
51.0000,0.0000,-36.0000,1.6716,
54.0000,0.0000,-38.2500,1.4451,
57.0000,0.0000,-40.5000,1.2069,
60.0000,0.0000,-42.7500,1.7023,
63.0000,0.0000,-45.0000,1.7899,
66.0000,0.0000,-47.2500,1.6602,
69.0000,0.0000,-49.5000,1.5879,
72.0000,0.0000,-51.7500,1.0424,
75.0000,0.0000,-54.0000,1.5892,
78.0000,0.0000,-56.2500,1.5571,
81.0000,0.0000,-58.5000,2.0426,
84.0000,0.0000,-60.7500,1.7610,
90.0000,0.0000,-65.2500,0.2737,
6.0000,0.0000,0.0000,
3.0000,0.0000,-2.2500,8.7632,
9.0000,0.0000,-2.2500,6.5592,
12.0000,0.0000,-4.5000,2.3448,
15.0000,0.0000,-6.7500,1.3712,
18.0000,0.0000,-9.0000,1.2475,
21.0000,0.0000,-11.2500,1.9648,
24.0000,0.0000,-13.5000,2.0026,
27.0000,0.0000,-15.7500,2.7477,
30.0000,0.0000,-18.0000,2.8741,
33.0000,0.0000,-20.2500,2.9755,
36.0000,0.0000,-22.5000,2.8120,
