74.0000,0.0000,0.0000,
72.5000,0.0000,-1.1250,20.4624,
71.0000,0.0000,-2.2500,31.8222,
69.5000,0.0000,-3.3750,32.1749,
68.0000,0.0000,-4.5000,23.4661,
66.5000,0.0000,-5.6250,6.1540,
65.0000,0.0000,-6.7500,10.9351,
62.0000,0.0000,-9.0000,8.2416,
60.5000,0.0000,-10.1250,8.6104,
59.0000,0.0000,-11.2500,8.6597,
57.5000,0.0000,-12.3750,9.4630,
56.0000,0.0000,-13.5000,10.1188,
54.5000,0.0000,-14.6250,12.0223,
51.5000,0.0000,-16.8750,12.8323,
50.0000,0.0000,-18.0000,9.8668,
48.5000,0.0000,-19.1250,8.6082,
47.0000,0.0000,-20.2500,6.7298,
45.5000,0.0000,-21.3750,6.2103,
44.0000,0.0000,-22.5000,4.1006,
42.5000,0.0000,-23.6250,5.4577,
41.0000,0.0000,-24.7500,13.4981,
39.5000,0.0000,-25.8750,13.5454,
72.5000,0.0000,0.0000,
71.0000,0.0000,-1.1250,20.1928,
69.5000,0.0000,-2.2500,33.0772,
66.5000,0.0000,-4.5000,6.5109,
65.0000,0.0000,-5.6250,11.4950,
62.0000,0.0000,-7.8750,8.0433,
60.5000,0.0000,-9.0000,8.1495,
59.0000,0.0000,-10.1250,7.1968,
57.5000,0.0000,-11.2500,8.5869,
56.0000,0.0000,-12.3750,9.3442,
54.5000,0.0000,-13.5000,10.6104,
53.0000,0.0000,-14.6250,14.5968,
51.5000,0.0000,-15.7500,13.5965,
50.0000,0.0000,-16.8750,10.4425,
48.5000,0.0000,-18.0000,6.7903,
47.0000,0.0000,-19.1250,5.7765,
45.5000,0.0000,-20.2500,5.6940,
44.0000,0.0000,-21.3750,3.4744,
42.5000,0.0000,-22.5000,3.1410,
41.0000,0.0000,-23.6250,10.0328,
39.5000,0.0000,-24.7500,12.6587,
38.0000,0.0000,-25.8750,16.3451,
71.0000,0.0000,0.0000,
72.5000,0.0000,-1.1250,17.4373,
69.5000,0.0000,-1.1250,22.1775,
68.0000,0.0000,-2.2500,25.6956,
66.5000,0.0000,-3.3750,9.1618,
65.0000,0.0000,-4.5000,13.8848,
62.0000,0.0000,-6.7500,9.1022,
60.5000,0.0000,-7.8750,8.3560,
59.0000,0.0000,-9.0000,6.6724,
57.5000,0.0000,-10.1250,7.7979,
56.0000,0.0000,-11.2500,8.6318,
54.5000,0.0000,-12.3750,9.8294,
53.0000,0.0000,-13.5000,11.9026,
50.0000,0.0000,-15.7500,11.5398,
48.5000,0.0000,-16.8750,8.2898,
47.0000,0.0000,-18.0000,7.3358,
45.5000,0.0000,-19.1250,5.4109,
44.0000,0.0000,-20.2500,4.8427,
42.5000,0.0000,-21.3750,3.6643,
41.0000,0.0000,-22.5000,4.2775,
39.5000,0.0000,-23.6250,11.9480,
38.0000,0.0000,-24.7500,12.4025,
69.5000,0.0000,0.0000,
71.0000,0.0000,-1.1250,21.2517,
68.0000,0.0000,-1.1250,27.2531,
65.0000,0.0000,-3.3750,15.8108,
62.0000,0.0000,-5.6250,10.8241,
60.5000,0.0000,-6.7500,9.1830,
59.0000,0.0000,-7.8750,6.6489,
57.5000,0.0000,-9.0000,7.3023,
56.0000,0.0000,-10.1250,8.0720,
54.5000,0.0000,-11.2500,9.2561,
53.0000,0.0000,-12.3750,10.5275,
51.5000,0.0000,-13.5000,14.0635,
50.0000,0.0000,-14.6250,12.3951,
48.5000,0.0000,-15.7500,9.1568,
47.0000,0.0000,-16.8750,6.0322,
45.5000,0.0000,-18.0000,4.8890,
44.0000,0.0000,-19.1250,3.4980,
42.5000,0.0000,-20.2500,3.7225,
41.0000,0.0000,-21.3750,2.6692,
39.5000,0.0000,-22.5000,9.0781,
