X	Y	P
0.0000 -3.4875 100.7036
0.6975 -3.4875 101.9527
1.3950 -3.4875 102.8920
2.0925 -3.4875 102.8589
2.7900 -3.4875 99.0336
3.4875 -3.4875 99.5174
4.1850 -3.4875 100.0486
4.8825 -3.4875 100.1108
5.5800 -3.4875 99.9805
6.2775 -3.4875 100.0537
6.9750 -3.4875 100.9473
7.6725 -3.4875 101.8289
8.3700 -3.4875 101.3895
9.0675 -3.4875 100.7334
9.7650 -3.4875 101.0755
10.4625 -3.4875 102.1262
11.1600 -3.4875 102.3349
11.8575 -3.4875 101.2258
12.5550 -3.4875 100.3404
13.2525 -3.4875 100.3502
13.9500 -3.4875 100.4940
14.6475 -3.4875 102.6502
15.3450 -3.4875 104.8093
16.0425 -3.4875 102.7991
16.7400 -3.4875 100.1989
17.4375 -3.4875 100.3903
18.1350 -3.4875 101.7082
18.8325 -3.4875 100.9629
19.5300 -3.4875 98.6196
20.2275 -3.4875 97.1662
20.9250 -3.4875 96.6693
21.6225 -3.4875 96.4501
22.3200 -3.4875 98.7512
23.0175 -3.4875 100.9251
23.7150 -3.4875 92.6981
24.4125 -3.4875 84.3542
25.1100 -3.4875 86.9158
25.8075 -3.4875 91.4802
26.5050 -3.4875 97.4694
27.2025 -3.4875 104.3356
27.9000 -3.4875 106.6762
28.5975 -3.4875 104.5997
29.2950 -3.4875 104.4772
29.9925 -3.4875 107.8525
30.6900 -3.4875 110.4760
31.3875 -3.4875 109.9462
32.0850 -3.4875 109.3661
32.7825 -3.4875 106.2098
33.4800 -3.4875 103.0528
34.1775 -3.4875 105.6489
34.8750 -3.4875 109.2926
35.5725 -3.4875 105.5324
36.2700 -3.4875 98.2627
36.9675 -3.4875 95.1943
37.6650 -3.4875 95.9740
38.3625 -3.4875 96.5829
39.0600 -3.4875 96.9340
39.7575 -3.4875 95.9588
40.4550 -3.4875 90.1630
41.1525 -3.4875 85.3032
41.8500 -3.4875 94.9558
42.5475 -3.4875 104.6093
43.2450 -3.4875 103.5973
43.9425 -3.4875 101.4602
44.6400 -3.4875 103.1409
45.3375 -3.4875 106.0676
46.0350 -3.4875 106.3816
46.7325 -3.4875 104.8787
47.4300 -3.4875 102.6563
