76.0000,0.0000,0.0000,
74.5000,0.0000,-1.1250,14.9874,
73.0000,0.0000,-2.2500,8.9625,
71.5000,0.0000,-3.3750,10.8290,
70.0000,0.0000,-4.5000,12.9996,
68.5000,0.0000,-5.6250,13.3114,
67.0000,0.0000,-6.7500,15.3747,
65.5000,0.0000,-7.8750,15.9044,
64.0000,0.0000,-9.0000,17.0217,
62.5000,0.0000,-10.1250,15.8389,
61.0000,0.0000,-11.2500,16.3485,
59.5000,0.0000,-12.3750,12.2705,
58.0000,0.0000,-13.5000,11.7333,
56.5000,0.0000,-14.6250,10.1711,
55.0000,0.0000,-15.7500,12.8192,
53.5000,0.0000,-16.8750,10.5277,
52.0000,0.0000,-18.0000,8.7650,
50.5000,0.0000,-19.1250,9.9916,
49.0000,0.0000,-20.2500,13.3285,
47.5000,0.0000,-21.3750,10.5482,
46.0000,0.0000,-22.5000,9.6533,
44.5000,0.0000,-23.6250,10.8423,
43.0000,0.0000,-24.7500,12.4909,
41.5000,0.0000,-25.8750,13.5502,
74.5000,0.0000,0.0000,
73.0000,0.0000,-1.1250,10.2914,
71.5000,0.0000,-2.2500,9.3180,
70.0000,0.0000,-3.3750,11.3375,
68.5000,0.0000,-4.5000,11.7948,
67.0000,0.0000,-5.6250,14.5587,
65.5000,0.0000,-6.7500,15.7245,
64.0000,0.0000,-7.8750,15.6972,
62.5000,0.0000,-9.0000,15.4783,
61.0000,0.0000,-10.1250,15.0784,
59.5000,0.0000,-11.2500,12.2152,
58.0000,0.0000,-12.3750,11.8312,
56.5000,0.0000,-13.5000,10.6186,
55.0000,0.0000,-14.6250,11.8471,
53.5000,0.0000,-15.7500,10.7447,
52.0000,0.0000,-16.8750,8.7316,
50.5000,0.0000,-18.0000,9.7146,
49.0000,0.0000,-19.1250,11.3630,
47.5000,0.0000,-20.2500,10.2734,
46.0000,0.0000,-21.3750,8.9775,
44.5000,0.0000,-22.5000,10.3446,
43.0000,0.0000,-23.6250,11.5013,
41.5000,0.0000,-24.7500,13.3082,
40.0000,0.0000,-25.8750,13.8762,
73.0000,0.0000,0.0000,
74.5000,0.0000,-1.1250,9.5449,
71.5000,0.0000,-1.1250,9.1792,
70.0000,0.0000,-2.2500,11.2526,
68.5000,0.0000,-3.3750,11.2259,
67.0000,0.0000,-4.5000,13.0022,
65.5000,0.0000,-5.6250,15.7657,
64.0000,0.0000,-6.7500,16.0450,
62.5000,0.0000,-7.8750,16.9631,
61.0000,0.0000,-9.0000,15.9470,
59.5000,0.0000,-10.1250,13.4577,
58.0000,0.0000,-11.2500,12.9690,
56.5000,0.0000,-12.3750,10.5993,
55.0000,0.0000,-13.5000,11.7433,
53.5000,0.0000,-14.6250,12.6769,
52.0000,0.0000,-15.7500,9.2137,
50.5000,0.0000,-16.8750,10.0842,
49.0000,0.0000,-18.0000,10.5636,
47.5000,0.0000,-19.1250,14.2865,
46.0000,0.0000,-20.2500,8.7857,
44.5000,0.0000,-21.3750,10.8801,
43.0000,0.0000,-22.5000,11.4658,
41.5000,0.0000,-23.6250,14.3807,
40.0000,0.0000,-24.7500,15.4928,
71.5000,0.0000,0.0000,
73.0000,0.0000,-1.1250,10.3489,
70.0000,0.0000,-1.1250,13.4788,
68.5000,0.0000,-2.2500,10.9360,
67.0000,0.0000,-3.3750,12.7039,
65.5000,0.0000,-4.5000,16.3333,
64.0000,0.0000,-5.6250,17.2899,
62.5000,0.0000,-6.7500,16.7636,
61.0000,0.0000,-7.8750,16.9510,
59.5000,0.0000,-9.0000,12.9780,
58.0000,0.0000,-10.1250,14.0085,
56.5000,0.0000,-11.2500,11.5830,
55.0000,0.0000,-12.3750,13.1924,
53.5000,0.0000,-13.5000,12.4521,
52.0000,0.0000,-14.6250,10.2039,
50.5000,0.0000,-15.7500,10.6710,
49.0000,0.0000,-16.8750,10.9507,
47.5000,0.0000,-18.0000,12.8036,
46.0000,0.0000,-19.1250,8.9446,
44.5000,0.0000,-20.2500,10.7369,
43.0000,0.0000,-21.3750,12.0808,
41.5000,0.0000,-22.5000,13.9522,
40.0000,0.0000,-23.6250,16.7643,
38.5000,0.0000,-24.7500,15.0331,
70.0000,0.0000,0.0000,
71.5000,0.0000,-1.1250,13.5014,
73.0000,0.0000,-2.2500,11.1519,
68.5000,0.0000,-1.1250,11.3321,
67.0000,0.0000,-2.2500,11.7505,
65.5000,0.0000,-3.3750,14.0120,
64.0000,0.0000,-4.5000,16.4026,
62.5000,0.0000,-5.6250,16.3421,
61.0000,0.0000,-6.7500,17.9880,
59.5000,0.0000,-7.8750,13.0936,
58.0000,0.0000,-9.0000,15.0477,
56.5000,0.0000,-10.1250,12.5289,
