2.0000,0.0000,0.0000,
3.5000,0.0000,-1.1250,9.8437,
5.0000,0.0000,-2.2500,13.3498,
6.5000,0.0000,-3.3750,11.1152,
8.0000,0.0000,-4.5000,11.9093,
9.5000,0.0000,-5.6250,11.1130,
11.0000,0.0000,-6.7500,7.9821,
12.5000,0.0000,-7.8750,8.2720,
14.0000,0.0000,-9.0000,5.6220,
15.5000,0.0000,-10.1250,11.5664,
17.0000,0.0000,-11.2500,7.8126,
18.5000,0.0000,-12.3750,12.6765,
20.0000,0.0000,-13.5000,15.9570,
21.5000,0.0000,-14.6250,18.2955,
23.0000,0.0000,-15.7500,18.7661,
24.5000,0.0000,-16.8750,17.9777,
26.0000,0.0000,-18.0000,16.5292,
27.5000,0.0000,-19.1250,14.0766,
29.0000,0.0000,-20.2500,13.1392,
30.5000,0.0000,-21.3750,14.8823,
32.0000,0.0000,-22.5000,13.5766,
33.5000,0.0000,-23.6250,10.3744,
35.0000,0.0000,-24.7500,12.7806,
36.5000,0.0000,-25.8750,12.8518,
3.5000,0.0000,0.0000,
5.0000,0.0000,-1.1250,45.1202,
6.5000,0.0000,-2.2500,20.8903,
8.0000,0.0000,-3.3750,13.4974,
9.5000,0.0000,-4.5000,8.7301,
11.0000,0.0000,-5.6250,8.8759,
12.5000,0.0000,-6.7500,7.1445,
14.0000,0.0000,-7.8750,5.0438,
15.5000,0.0000,-9.0000,11.0403,
17.0000,0.0000,-10.1250,7.0547,
18.5000,0.0000,-11.2500,12.8101,
20.0000,0.0000,-12.3750,15.3643,
21.5000,0.0000,-13.5000,21.8157,
23.0000,0.0000,-14.6250,18.2660,
24.5000,0.0000,-15.7500,17.4591,
26.0000,0.0000,-16.8750,16.9924,
27.5000,0.0000,-18.0000,13.1263,
29.0000,0.0000,-19.1250,13.5159,
30.5000,0.0000,-20.2500,13.6341,
32.0000,0.0000,-21.3750,13.8421,
33.5000,0.0000,-22.5000,10.3304,
35.0000,0.0000,-23.6250,11.8319,
36.5000,0.0000,-24.7500,12.2852,
38.0000,0.0000,-25.8750,13.0386,
5.0000,0.0000,0.0000,
3.5000,0.0000,-1.1250,36.8962,
6.5000,0.0000,-1.1250,62.9647,
8.0000,0.0000,-2.2500,34.5878,
9.5000,0.0000,-3.3750,14.7211,
11.0000,0.0000,-4.5000,10.6458,
12.5000,0.0000,-5.6250,6.2517,
14.0000,0.0000,-6.7500,4.2695,
15.5000,0.0000,-7.8750,10.2614,
17.0000,0.0000,-9.0000,6.3742,
18.5000,0.0000,-10.1250,10.2752,
20.0000,0.0000,-11.2500,14.4504,
21.5000,0.0000,-12.3750,14.4009,
23.0000,0.0000,-13.5000,16.4411,
24.5000,0.0000,-14.6250,17.1657,
26.0000,0.0000,-15.7500,16.9712,
27.5000,0.0000,-16.8750,16.0320,
29.0000,0.0000,-18.0000,13.8637,
30.5000,0.0000,-19.1250,12.5883,
32.0000,0.0000,-20.2500,13.7040,
33.5000,0.0000,-21.3750,9.7300,
35.0000,0.0000,-22.5000,10.9841,
36.5000,0.0000,-23.6250,12.0160,
38.0000,0.0000,-24.7500,11.8921,
6.5000,0.0000,0.0000,
5.0000,0.0000,-1.1250,52.7893,
8.0000,0.0000,-1.1250,101.7165,
9.5000,0.0000,-2.2500,30.6298,
11.0000,0.0000,-3.3750,12.5272,
12.5000,0.0000,-4.5000,8.8678,
14.0000,0.0000,-5.6250,4.0129,
15.5000,0.0000,-6.7500,9.8580,
17.0000,0.0000,-7.8750,6.3004,
18.5000,0.0000,-9.0000,9.6476,
20.0000,0.0000,-10.1250,14.4741,
21.5000,0.0000,-11.2500,13.7065,
23.0000,0.0000,-12.3750,19.1208,
24.5000,0.0000,-13.5000,16.2974,
26.0000,0.0000,-14.6250,16.0931,
27.5000,0.0000,-15.7500,15.9838,
29.0000,0.0000,-16.8750,12.6698,
30.5000,0.0000,-18.0000,12.6097,
32.0000,0.0000,-19.1250,12.3118,
33.5000,0.0000,-20.2500,9.7133,
35.0000,0.0000,-21.3750,10.7098,
36.5000,0.0000,-22.5000,10.8764,
38.0000,0.0000,-23.6250,11.1305,
39.5000,0.0000,-24.7500,1.1853,
8.0000,0.0000,0.0000,
6.5000,0.0000,-1.1250,76.6017,
5.0000,0.0000,-2.2500,25.7297,
9.5000,0.0000,-1.1250,63.7315,
11.0000,0.0000,-2.2500,26.6506,
12.5000,0.0000,-3.3750,14.6646,
14.0000,0.0000,-4.5000,4.7097,
15.5000,0.0000,-5.6250,9.4739,
17.0000,0.0000,-6.7500,6.2815,
18.5000,0.0000,-7.8750,9.4271,
20.0000,0.0000,-9.0000,12.5507,
21.5000,0.0000,-10.1250,13.2815,
23.0000,0.0000,-11.2500,12.9087,
24.5000,0.0000,-12.3750,14.9035,
26.0000,0.0000,-13.5000,16.0508,
27.5000,0.0000,-14.6250,15.9669,
29.0000,0.0000,-15.7500,15.1332,
30.5000,0.0000,-16.8750,12.8828,
32.0000,0.0000,-18.0000,11.4621,
33.5000,0.0000,-19.1250,9.7007,
35.0000,0.0000,-20.2500,10.2239,
36.5000,0.0000,-21.3750,10.1316,
38.0000,0.0000,-22.5000,10.9612,
