74.0000,0.0000,0.0000,
72.5000,0.0000,-1.1250,8.8041,
71.0000,0.0000,-2.2500,11.3193,
69.5000,0.0000,-3.3750,7.3113,
68.0000,0.0000,-4.5000,8.1008,
66.5000,0.0000,-5.6250,12.1156,
65.0000,0.0000,-6.7500,15.3897,
63.5000,0.0000,-7.8750,17.0520,
62.0000,0.0000,-9.0000,17.7155,
60.5000,0.0000,-10.1250,18.5210,
59.0000,0.0000,-11.2500,17.8178,
57.5000,0.0000,-12.3750,17.2401,
56.0000,0.0000,-13.5000,16.0339,
54.5000,0.0000,-14.6250,15.3234,
53.0000,0.0000,-15.7500,14.6644,
51.5000,0.0000,-16.8750,14.1689,
50.0000,0.0000,-18.0000,13.5561,
48.5000,0.0000,-19.1250,12.0234,
47.0000,0.0000,-20.2500,10.9565,
45.5000,0.0000,-21.3750,10.9262,
44.0000,0.0000,-22.5000,12.8446,
42.5000,0.0000,-23.6250,10.9569,
41.0000,0.0000,-24.7500,11.0548,
39.5000,0.0000,-25.8750,12.8495,
72.5000,0.0000,0.0000,
71.0000,0.0000,-1.1250,16.2062,
69.5000,0.0000,-2.2500,7.0641,
68.0000,0.0000,-3.3750,6.5211,
66.5000,0.0000,-4.5000,11.2233,
65.0000,0.0000,-5.6250,14.5540,
63.5000,0.0000,-6.7500,17.2792,
62.0000,0.0000,-7.8750,18.2705,
60.5000,0.0000,-9.0000,18.7390,
59.0000,0.0000,-10.1250,18.9306,
57.5000,0.0000,-11.2500,17.8357,
56.0000,0.0000,-12.3750,16.9091,
54.5000,0.0000,-13.5000,15.6201,
53.0000,0.0000,-14.6250,15.2266,
51.5000,0.0000,-15.7500,14.8640,
50.0000,0.0000,-16.8750,14.2802,
48.5000,0.0000,-18.0000,12.7125,
47.0000,0.0000,-19.1250,10.6379,
45.5000,0.0000,-20.2500,11.6517,
44.0000,0.0000,-21.3750,11.5726,
42.5000,0.0000,-22.5000,11.8282,
41.0000,0.0000,-23.6250,11.5757,
39.5000,0.0000,-24.7500,12.8969,
38.0000,0.0000,-25.8750,13.4227,
71.0000,0.0000,0.0000,
72.5000,0.0000,-1.1250,6.7651,
69.5000,0.0000,-1.1250,12.2702,
68.0000,0.0000,-2.2500,5.2611,
66.5000,0.0000,-3.3750,11.2551,
65.0000,0.0000,-4.5000,14.5870,
63.5000,0.0000,-5.6250,17.3482,
62.0000,0.0000,-6.7500,19.1906,
60.5000,0.0000,-7.8750,19.4704,
59.0000,0.0000,-9.0000,20.5304,
57.5000,0.0000,-10.1250,19.4629,
56.0000,0.0000,-11.2500,18.5477,
54.5000,0.0000,-12.3750,16.7237,
53.0000,0.0000,-13.5000,17.0122,
51.5000,0.0000,-14.6250,15.8043,
50.0000,0.0000,-15.7500,15.5100,
48.5000,0.0000,-16.8750,13.5207,
47.0000,0.0000,-18.0000,11.9239,
45.5000,0.0000,-19.1250,11.9110,
44.0000,0.0000,-20.2500,12.4231,
42.5000,0.0000,-21.3750,14.0844,
41.0000,0.0000,-22.5000,11.6158,
39.5000,0.0000,-23.6250,12.7085,
38.0000,0.0000,-24.7500,13.6847,
69.5000,0.0000,0.0000,
71.0000,0.0000,-1.1250,6.4256,
68.0000,0.0000,-1.1250,1.9256,
66.5000,0.0000,-2.2500,11.2428,
65.0000,0.0000,-3.3750,13.2442,
63.5000,0.0000,-4.5000,16.0352,
62.0000,0.0000,-5.6250,18.6428,
60.5000,0.0000,-6.7500,19.3641,
59.0000,0.0000,-7.8750,20.1406,
57.5000,0.0000,-9.0000,20.1550,
56.0000,0.0000,-10.1250,18.6610,
54.5000,0.0000,-11.2500,16.9884,
53.0000,0.0000,-12.3750,16.7309,
51.5000,0.0000,-13.5000,15.8252,
50.0000,0.0000,-14.6250,15.6837,
48.5000,0.0000,-15.7500,13.6923,
47.0000,0.0000,-16.8750,11.8106,
45.5000,0.0000,-18.0000,11.2514,
44.0000,0.0000,-19.1250,12.7979,
42.5000,0.0000,-20.2500,12.5565,
41.0000,0.0000,-21.3750,11.8443,
39.5000,0.0000,-22.5000,12.7311,
38.0000,0.0000,-23.6250,13.9278,
36.5000,0.0000,-24.7500,14.9258,
68.0000,0.0000,0.0000,
69.5000,0.0000,-1.1250,4.9536,
71.0000,0.0000,-2.2500,6.1482,
66.5000,0.0000,-1.1250,11.3427,
65.0000,0.0000,-2.2500,15.6258,
63.5000,0.0000,-3.3750,15.2914,
62.0000,0.0000,-4.5000,17.1911,
60.5000,0.0000,-5.6250,18.7703,
59.0000,0.0000,-6.7500,19.6301,
57.5000,0.0000,-7.8750,20.8570,
56.0000,0.0000,-9.0000,19.6662,
54.5000,0.0000,-10.1250,18.1275,
53.0000,0.0000,-11.2500,17.4831,
51.5000,0.0000,-12.3750,17.4596,
50.0000,0.0000,-13.5000,16.7110,
48.5000,0.0000,-14.6250,14.8642,
47.0000,0.0000,-15.7500,12.7335,
45.5000,0.0000,-16.8750,12.5985,
44.0000,0.0000,-18.0000,13.1132,
42.5000,0.0000,-19.1250,13.5427,
41.0000,0.0000,-20.2500,14.9463,
39.5000,0.0000,-21.3750,12.7616,
38.0000,0.0000,-22.5000,13.4063,
36.5000,0.0000,-23.6250,14.6685,
66.5000,0.0000,0.0000,
68.0000,0.0000,-1.1250,12.0395,
69.5000,0.0000,-2.2500,12.1960,
65.0000,0.0000,-1.1250,11.0567,
63.5000,0.0000,-2.2500,10.4331,
62.0000,0.0000,-3.3750,12.0657,
60.5000,0.0000,-4.5000,14.4865,
59.0000,0.0000,-5.6250,15.9048,
57.5000,0.0000,-6.7500,16.9008,
56.0000,0.0000,-7.8750,17.2042,
54.5000,0.0000,-9.0000,15.4962,
53.0000,0.0000,-10.1250,15.2957,
51.5000,0.0000,-11.2500,14.9018,
50.0000,0.0000,-12.3750,14.7161,
48.5000,0.0000,-13.5000,13.5680,
47.0000,0.0000,-14.6250,11.8346,
45.5000,0.0000,-15.7500,11.7942,
44.0000,0.0000,-16.8750,11.8054,
42.5000,0.0000,-18.0000,13.1179,
41.0000,0.0000,-19.1250,11.9837,
39.5000,0.0000,-20.2500,11.7862,
38.0000,0.0000,-21.3750,11.6398,
36.5000,0.0000,-22.5000,13.1406,
35.0000,0.0000,-23.6250,12.8430,
65.0000,0.0000,0.0000,
