76.0000,0.0000,0.0000,
74.5000,0.0000,-1.1250,9.7417,
73.0000,0.0000,-2.2500,9.7239,
71.5000,0.0000,-3.3750,11.7008,
70.0000,0.0000,-4.5000,12.5123,
68.5000,0.0000,-5.6250,13.3105,
67.0000,0.0000,-6.7500,16.5909,
65.5000,0.0000,-7.8750,14.0616,
64.0000,0.0000,-9.0000,13.8921,
62.5000,0.0000,-10.1250,14.5108,
61.0000,0.0000,-11.2500,14.5900,
59.5000,0.0000,-12.3750,13.7940,
55.0000,0.0000,-15.7500,11.7095,
53.5000,0.0000,-16.8750,10.4714,
52.0000,0.0000,-18.0000,10.5611,
50.5000,0.0000,-19.1250,10.1261,
49.0000,0.0000,-20.2500,8.3598,
47.5000,0.0000,-21.3750,11.1729,
46.0000,0.0000,-22.5000,9.3345,
44.5000,0.0000,-23.6250,9.8043,
43.0000,0.0000,-24.7500,10.5878,
74.5000,0.0000,0.0000,
73.0000,0.0000,-1.1250,13.4340,
71.5000,0.0000,-2.2500,15.6534,
70.0000,0.0000,-3.3750,13.1081,
68.5000,0.0000,-4.5000,13.0530,
67.0000,0.0000,-5.6250,15.0678,
65.5000,0.0000,-6.7500,14.6781,
64.0000,0.0000,-7.8750,14.4719,
62.5000,0.0000,-9.0000,15.6400,
61.0000,0.0000,-10.1250,14.4770,
59.5000,0.0000,-11.2500,15.1731,
56.5000,0.0000,-13.5000,12.2705,
55.0000,0.0000,-14.6250,12.5818,
53.5000,0.0000,-15.7500,11.8952,
52.0000,0.0000,-16.8750,10.9887,
50.5000,0.0000,-18.0000,10.1154,
49.0000,0.0000,-19.1250,10.9763,
47.5000,0.0000,-20.2500,11.5382,
46.0000,0.0000,-21.3750,9.2421,
44.5000,0.0000,-22.5000,9.6983,
43.0000,0.0000,-23.6250,11.0198,
73.0000,0.0000,0.0000,
74.5000,0.0000,-1.1250,18.0270,
71.5000,0.0000,-1.1250,16.8553,
70.0000,0.0000,-2.2500,11.7385,
68.5000,0.0000,-3.3750,11.5732,
67.0000,0.0000,-4.5000,13.4089,
65.5000,0.0000,-5.6250,14.9320,
64.0000,0.0000,-6.7500,13.0997,
62.5000,0.0000,-7.8750,14.6633,
61.0000,0.0000,-9.0000,14.2696,
59.5000,0.0000,-10.1250,14.8047,
58.0000,0.0000,-11.2500,9.4572,
53.5000,0.0000,-14.6250,11.9973,
52.0000,0.0000,-15.7500,11.2843,
50.5000,0.0000,-16.8750,10.3786,
49.0000,0.0000,-18.0000,10.3579,
47.5000,0.0000,-19.1250,11.2840,
46.0000,0.0000,-20.2500,9.2026,
44.5000,0.0000,-21.3750,9.2508,
43.0000,0.0000,-22.5000,10.9994,
71.5000,0.0000,0.0000,
73.0000,0.0000,-1.1250,15.3267,
70.0000,0.0000,-1.1250,15.0464,
68.5000,0.0000,-2.2500,9.4826,
67.0000,0.0000,-3.3750,11.5513,
65.5000,0.0000,-4.5000,11.5409,
64.0000,0.0000,-5.6250,12.5430,
62.5000,0.0000,-6.7500,14.2743,
61.0000,0.0000,-7.8750,14.2137,
59.5000,0.0000,-9.0000,13.7665,
58.0000,0.0000,-10.1250,10.0586,
55.0000,0.0000,-12.3750,12.2697,
53.5000,0.0000,-13.5000,11.4459,
52.0000,0.0000,-14.6250,11.6273,
50.5000,0.0000,-15.7500,10.6007,
49.0000,0.0000,-16.8750,10.3356,
47.5000,0.0000,-18.0000,11.6070,
46.0000,0.0000,-19.1250,9.3525,
44.5000,0.0000,-20.2500,9.6730,
43.0000,0.0000,-21.3750,11.0133,
38.5000,0.0000,-24.7500,12.7230,
70.0000,0.0000,0.0000,
71.5000,0.0000,-1.1250,13.8311,
73.0000,0.0000,-2.2500,13.1054,
68.5000,0.0000,-1.1250,6.8751,
67.0000,0.0000,-2.2500,9.7324,
65.5000,0.0000,-3.3750,9.5436,
64.0000,0.0000,-4.5000,12.5201,
62.5000,0.0000,-5.6250,12.4931,
61.0000,0.0000,-6.7500,12.9353,
59.5000,0.0000,-7.8750,13.1344,
58.0000,0.0000,-9.0000,9.6029,
56.5000,0.0000,-10.1250,12.0417,
52.0000,0.0000,-13.5000,11.1049,
50.5000,0.0000,-14.6250,10.0353,
49.0000,0.0000,-15.7500,10.8638,
47.5000,0.0000,-16.8750,11.1095,
46.0000,0.0000,-18.0000,9.4404,
44.5000,0.0000,-19.1250,9.7253,
43.0000,0.0000,-20.2500,10.8649,
38.5000,0.0000,-23.6250,12.5760,
68.5000,0.0000,0.0000,
70.0000,0.0000,-1.1250,6.2267,
71.5000,0.0000,-2.2500,8.3436,
67.0000,0.0000,-1.1250,11.3446,
65.5000,0.0000,-2.2500,9.1054,
64.0000,0.0000,-3.3750,10.6017,
62.5000,0.0000,-4.5000,13.3108,
61.0000,0.0000,-5.6250,13.6561,
59.5000,0.0000,-6.7500,14.3461,
58.0000,0.0000,-7.8750,8.8091,
56.5000,0.0000,-9.0000,13.6939,
53.5000,0.0000,-11.2500,11.4780,
52.0000,0.0000,-12.3750,11.5173,
50.5000,0.0000,-13.5000,11.6980,
49.0000,0.0000,-14.6250,11.1602,
47.5000,0.0000,-15.7500,10.9583,
46.0000,0.0000,-16.8750,8.4988,
44.5000,0.0000,-18.0000,9.2674,
43.0000,0.0000,-19.1250,10.2667,
38.5000,0.0000,-22.5000,12.5364,
67.0000,0.0000,0.0000,
68.5000,0.0000,-1.1250,12.5055,
70.0000,0.0000,-2.2500,8.1187,
71.5000,0.0000,-3.3750,11.7733,
65.5000,0.0000,-1.1250,8.3769,
64.0000,0.0000,-2.2500,9.8050,
62.5000,0.0000,-3.3750,14.5942,
61.0000,0.0000,-4.5000,12.6910,
59.5000,0.0000,-5.6250,14.1280,
58.0000,0.0000,-6.7500,9.1926,
56.5000,0.0000,-7.8750,14.2525,
55.0000,0.0000,-9.0000,13.8208,
50.5000,0.0000,-12.3750,12.1594,
49.0000,0.0000,-13.5000,11.4473,
47.5000,0.0000,-14.6250,12.6038,
46.0000,0.0000,-15.7500,8.4863,
44.5000,0.0000,-16.8750,10.2697,
43.0000,0.0000,-18.0000,10.8173,
38.5000,0.0000,-21.3750,13.3090,
65.5000,0.0000,0.0000,
67.0000,0.0000,-1.1250,8.5158,
68.5000,0.0000,-2.2500,10.4300,
70.0000,0.0000,-3.3750,8.4208,
64.0000,0.0000,-1.1250,11.5724,
62.5000,0.0000,-2.2500,12.2972,
61.0000,0.0000,-3.3750,12.7013,
59.5000,0.0000,-4.5000,14.0744,
58.0000,0.0000,-5.6250,9.5127,
56.5000,0.0000,-6.7500,13.1395,
55.0000,0.0000,-7.8750,14.9901,
52.0000,0.0000,-10.1250,12.5464,
50.5000,0.0000,-11.2500,12.1844,
49.0000,0.0000,-12.3750,13.4859,
47.5000,0.0000,-13.5000,13.1726,
46.0000,0.0000,-14.6250,9.3470,
44.5000,0.0000,-15.7500,10.7477,
43.0000,0.0000,-16.8750,12.6686,
38.5000,0.0000,-20.2500,13.9215,
35.5000,0.0000,-22.5000,13.2727,
64.0000,0.0000,0.0000,
65.5000,0.0000,-1.1250,13.4083,
67.0000,0.0000,-2.2500,11.6209,
68.5000,0.0000,-3.3750,11.8669,
70.0000,0.0000,-4.5000,10.6274,
62.5000,0.0000,-1.1250,10.9381,
61.0000,0.0000,-2.2500,12.3785,
59.5000,0.0000,-3.3750,11.5940,
58.0000,0.0000,-4.5000,8.0403,
56.5000,0.0000,-5.6250,12.2713,
55.0000,0.0000,-6.7500,14.2167,
53.5000,0.0000,-7.8750,12.2970,
49.0000,0.0000,-11.2500,12.4996,
47.5000,0.0000,-12.3750,12.4289,
46.0000,0.0000,-13.5000,9.3028,
44.5000,0.0000,-14.6250,8.7392,
43.0000,0.0000,-15.7500,11.8256,
38.5000,0.0000,-19.1250,13.8636,
35.5000,0.0000,-21.3750,12.5621,
62.5000,0.0000,0.0000,
64.0000,0.0000,-1.1250,9.4931,
65.5000,0.0000,-2.2500,13.2981,
67.0000,0.0000,-3.3750,12.9217,
68.5000,0.0000,-4.5000,13.2280,
61.0000,0.0000,-1.1250,9.3004,
59.5000,0.0000,-2.2500,11.1003,
58.0000,0.0000,-3.3750,7.4132,
56.5000,0.0000,-4.5000,12.3647,
55.0000,0.0000,-5.6250,12.8304,
53.5000,0.0000,-6.7500,13.4560,
50.5000,0.0000,-9.0000,11.7879,
49.0000,0.0000,-10.1250,12.8907,
47.5000,0.0000,-11.2500,14.6445,
46.0000,0.0000,-12.3750,10.3172,
44.5000,0.0000,-13.5000,9.8108,
