X ,Y ,Z ,AO ,Res ,A ,B ,M ,N 
   74.5000,    0.0000,   -1.1250,    2.2500, 18.027014,     3, 10000,     2,     1,
   73.0000,    0.0000,   -1.1250,    2.2500, 15.326715,     4, 10000,     3,     2,
   71.5000,    0.0000,   -1.1250,    2.2500, 13.831083,     5, 10000,     4,     3,
   73.0000,    0.0000,   -2.2500,    4.5000, 13.105352,     5, 10000,     3,     1,
   70.0000,    0.0000,   -1.1250,    2.2500,  6.226743,     6, 10000,     5,     4,
   71.5000,    0.0000,   -2.2500,    4.5000,  8.343600,     6, 10000,     4,     2,
   68.5000,    0.0000,   -1.1250,    2.2500, 12.505493,     7, 10000,     6,     5,
   70.0000,    0.0000,   -2.2500,    4.5000,  8.118684,     7, 10000,     5,     3,
   71.5000,    0.0000,   -3.3750,    6.7500, 11.773304,     7, 10000,     4,     1,
   67.0000,    0.0000,   -1.1250,    2.2500,  8.515798,     8, 10000,     7,     6,
   68.5000,    0.0000,   -2.2500,    4.5000, 10.429958,     8, 10000,     6,     4,
   70.0000,    0.0000,   -3.3750,    6.7500,  8.420757,     8, 10000,     5,     2,
   65.5000,    0.0000,   -1.1250,    2.2500, 13.408291,     9, 10000,     8,     7,
   67.0000,    0.0000,   -2.2500,    4.5000, 11.620914,     9, 10000,     7,     5,
   68.5000,    0.0000,   -3.3750,    6.7500, 11.866940,     9, 10000,     6,     3,
   70.0000,    0.0000,   -4.5000,    9.0000, 10.627439,     9, 10000,     5,     1,
   64.0000,    0.0000,   -1.1250,    2.2500,  9.493149,    10, 10000,     9,     8,
   65.5000,    0.0000,   -2.2500,    4.5000, 13.298098,    10, 10000,     8,     6,
   67.0000,    0.0000,   -3.3750,    6.7500, 12.921721,    10, 10000,     7,     4,
   68.5000,    0.0000,   -4.5000,    9.0000, 13.227953,    10, 10000,     6,     2,
   62.5000,    0.0000,   -1.1250,    2.2500,  8.756340,    11, 10000,    10,     9,
   64.0000,    0.0000,   -2.2500,    4.5000,  9.818673,    11, 10000,     9,     7,
   65.5000,    0.0000,   -3.3750,    6.7500, 14.162343,    11, 10000,     8,     5,
   67.0000,    0.0000,   -4.5000,    9.0000, 13.252138,    11, 10000,     7,     3,
   68.5000,    0.0000,   -5.6250,   11.2500, 14.404085,    11, 10000,     6,     1,
   61.0000,    0.0000,   -1.1250,    2.2500, 14.377542,    12, 10000,    11,    10,
   62.5000,    0.0000,   -2.2500,    4.5000, 10.187140,    12, 10000,    10,     8,
   64.0000,    0.0000,   -3.3750,    6.7500, 11.522030,    12, 10000,     9,     6,
   65.5000,    0.0000,   -4.5000,    9.0000, 14.753105,    12, 10000,     8,     4,
   67.0000,    0.0000,   -5.6250,   11.2500, 14.057702,    12, 10000,     7,     2,
   59.5000,    0.0000,   -1.1250,    2.2500,  5.523440,    13, 10000,    12,    11,
   61.0000,    0.0000,   -2.2500,    4.5000, 11.024704,    13, 10000,    11,     9,
   62.5000,    0.0000,   -3.3750,    6.7500,  8.817440,    13, 10000,    10,     7,
   64.0000,    0.0000,   -4.5000,    9.0000,  9.845044,    13, 10000,     9,     5,
   65.5000,    0.0000,   -5.6250,   11.2500, 11.114897,    13, 10000,     8,     3,
   67.0000,    0.0000,   -6.7500,   13.5000, 10.959199,    13, 10000,     7,     1,
   58.0000,    0.0000,   -1.1250,    2.2500,  7.752825,    14, 10000,    13,    12,
   59.5000,    0.0000,   -2.2500,    4.5000, 10.419766,    14, 10000,    12,    10,
   61.0000,    0.0000,   -3.3750,    6.7500, 12.945268,    14, 10000,    11,     8,
   62.5000,    0.0000,   -4.5000,    9.0000, 13.329473,    14, 10000,    10,     6,
   64.0000,    0.0000,   -5.6250,   11.2500, 13.463697,    14, 10000,     9,     4,
   65.5000,    0.0000,   -6.7500,   13.5000, 15.038935,    14, 10000,     8,     2,
   56.5000,    0.0000,   -1.1250,    2.2500, 13.540098,    15, 10000,    14,    13,
   58.0000,    0.0000,   -2.2500,    4.5000,  4.535251,    15, 10000,    13,    11,
   59.5000,    0.0000,   -3.3750,    6.7500, 12.273686,    15, 10000,    12,     9,
   61.0000,    0.0000,   -4.5000,    9.0000, 14.847203,    15, 10000,    11,     7,
   62.5000,    0.0000,   -5.6250,   11.2500, 15.369524,    15, 10000,    10,     5,
   64.0000,    0.0000,   -6.7500,   13.5000, 14.182358,    15, 10000,     9,     3,
   65.5000,    0.0000,   -7.8750,   15.7500, 16.200527,    15, 10000,     8,     1,
   55.0000,    0.0000,   -1.1250,    2.2500,  9.994304,    16, 10000,    15,    14,
   56.5000,    0.0000,   -2.2500,    4.5000,  9.087875,    16, 10000,    14,    12,
   58.0000,    0.0000,   -3.3750,    6.7500,  5.704929,    16, 10000,    13,    10,
   59.5000,    0.0000,   -4.5000,    9.0000, 12.266050,    16, 10000,    12,     8,
   61.0000,    0.0000,   -5.6250,   11.2500, 15.040889,    16, 10000,    11,     6,
   62.5000,    0.0000,   -6.7500,   13.5000, 14.579488,    16, 10000,    10,     4,
   64.0000,    0.0000,   -7.8750,   15.7500, 13.549370,    16, 10000,     9,     2,
   53.5000,    0.0000,   -1.1250,    2.2500, 14.766843,    17, 10000,    16,    15,
   55.0000,    0.0000,   -2.2500,    4.5000, 10.037245,    17, 10000,    15,    13,
   56.5000,    0.0000,   -3.3750,    6.7500,  6.828029,    17, 10000,    14,    11,
   58.0000,    0.0000,   -4.5000,    9.0000,  5.322989,    17, 10000,    13,     9,
   59.5000,    0.0000,   -5.6250,   11.2500, 12.313098,    17, 10000,    12,     7,
   61.0000,    0.0000,   -6.7500,   13.5000, 16.240030,    17, 10000,    11,     5,
   62.5000,    0.0000,   -7.8750,   15.7500, 13.643414,    17, 10000,    10,     3,
   64.0000,    0.0000,   -9.0000,   18.0000, 12.910033,    17, 10000,     9,     1,
   52.0000,    0.0000,   -1.1250,    2.2500, 44.985439,    18, 10000,    17,    16,
   53.5000,    0.0000,   -2.2500,    4.5000, 10.266854,    18, 10000,    16,    14,
   55.0000,    0.0000,   -3.3750,    6.7500, 10.978570,    18, 10000,    15,    12,
   56.5000,    0.0000,   -4.5000,    9.0000, 12.111459,    18, 10000,    14,    10,
   58.0000,    0.0000,   -5.6250,   11.2500,  8.156894,    18, 10000,    13,     8,
   59.5000,    0.0000,   -6.7500,   13.5000, 14.792692,    18, 10000,    12,     6,
   61.0000,    0.0000,   -7.8750,   15.7500, 16.598803,    18, 10000,    11,     4,
   62.5000,    0.0000,   -9.0000,   18.0000, 15.303890,    18, 10000,    10,     2,
   50.5000,    0.0000,   -1.1250,    2.2500, 38.883976,    19, 10000,    18,    17,
   52.0000,    0.0000,   -2.2500,    4.5000, 12.557933,    19, 10000,    17,    15,
   53.5000,    0.0000,   -3.3750,    6.7500, 11.378539,    19, 10000,    16,    13,
   55.0000,    0.0000,   -4.5000,    9.0000, 11.388273,    19, 10000,    15,    11,
   56.5000,    0.0000,   -5.6250,   11.2500, 13.579499,    19, 10000,    14,     9,
   58.0000,    0.0000,   -6.7500,   13.5000,  9.097298,    19, 10000,    13,     7,
   59.5000,    0.0000,   -7.8750,   15.7500, 16.125629,    19, 10000,    12,     5,
   61.0000,    0.0000,   -9.0000,   18.0000, 17.066074,    19, 10000,    11,     3,
   62.5000,    0.0000,  -10.1250,   20.2500, 16.016600,    19, 10000,    10,     1,
   49.0000,    0.0000,   -1.1250,    2.2500, 37.029732,    20, 10000,    19,    18,
   50.5000,    0.0000,   -2.2500,    4.5000, 12.291323,    20, 10000,    18,    16,
   52.0000,    0.0000,   -3.3750,    6.7500, 12.183921,    20, 10000,    17,    14,
   53.5000,    0.0000,   -4.5000,    9.0000, 11.005646,    20, 10000,    16,    12,
   55.0000,    0.0000,   -5.6250,   11.2500, 14.660519,    20, 10000,    15,    10,
   56.5000,    0.0000,   -6.7500,   13.5000, 15.095456,    20, 10000,    14,     8,
   58.0000,    0.0000,   -7.8750,   15.7500, 10.417911,    20, 10000,    13,     6,
   59.5000,    0.0000,   -9.0000,   18.0000, 17.299505,    20, 10000,    12,     4,
   61.0000,    0.0000,  -10.1250,   20.2500, 18.157883,    20, 10000,    11,     2,
   47.5000,    0.0000,   -1.1250,    2.2500, 15.234536,    21, 10000,    20,    19,
   49.0000,    0.0000,   -2.2500,    4.5000,  8.749506,    21, 10000,    19,    17,
   50.5000,    0.0000,   -3.3750,    6.7500,  3.753137,    21, 10000,    18,    15,
   52.0000,    0.0000,   -4.5000,    9.0000,  9.886691,    21, 10000,    17,    13,
   53.5000,    0.0000,   -5.6250,   11.2500,  9.536024,    21, 10000,    16,    11,
   55.0000,    0.0000,   -6.7500,   13.5000, 13.743824,    21, 10000,    15,     9,
   56.5000,    0.0000,   -7.8750,   15.7500, 15.125032,    21, 10000,    14,     7,
   58.0000,    0.0000,   -9.0000,   18.0000, 11.622437,    21, 10000,    13,     5,
   59.5000,    0.0000,  -10.1250,   20.2500, 17.017242,    21, 10000,    12,     3,
   61.0000,    0.0000,  -11.2500,   22.5000, 18.478453,    21, 10000,    11,     1,
   46.0000,    0.0000,   -1.1250,    2.2500, 21.629562,    22, 10000,    21,    20,
   47.5000,    0.0000,   -2.2500,    4.5000,  8.559971,    22, 10000,    20,    18,
   49.0000,    0.0000,   -3.3750,    6.7500,  7.408960,    22, 10000,    19,    16,
   50.5000,    0.0000,   -4.5000,    9.0000,  5.825409,    22, 10000,    18,    14,
   52.0000,    0.0000,   -5.6250,   11.2500,  8.857382,    22, 10000,    17,    12,
   53.5000,    0.0000,   -6.7500,   13.5000, 11.943733,    22, 10000,    16,    10,
