76.0000,0.0000,0.0000,
74.5000,0.0000,-1.1250,34.4908,
73.0000,0.0000,-2.2500,14.5114,
71.5000,0.0000,-3.3750,6.3145,
70.0000,0.0000,-4.5000,7.1452,
68.5000,0.0000,-5.6250,6.9996,
67.0000,0.0000,-6.7500,8.4543,
65.5000,0.0000,-7.8750,5.1182,
64.0000,0.0000,-9.0000,10.5963,
62.5000,0.0000,-10.1250,9.8691,
61.0000,0.0000,-11.2500,9.8122,
59.5000,0.0000,-12.3750,6.8495,
58.0000,0.0000,-13.5000,6.4711,
56.5000,0.0000,-14.6250,7.5272,
55.0000,0.0000,-15.7500,8.1271,
53.5000,0.0000,-16.8750,5.5349,
52.0000,0.0000,-18.0000,4.8869,
50.5000,0.0000,-19.1250,4.7041,
49.0000,0.0000,-20.2500,8.7579,
47.5000,0.0000,-21.3750,7.9323,
46.0000,0.0000,-22.5000,7.4693,
44.5000,0.0000,-23.6250,4.8623,
43.0000,0.0000,-24.7500,6.0760,
41.5000,0.0000,-25.8750,5.2614,
74.5000,0.0000,0.0000,
73.0000,0.0000,-1.1250,38.4032,
71.5000,0.0000,-2.2500,8.2441,
70.0000,0.0000,-3.3750,9.6106,
68.5000,0.0000,-4.5000,6.9311,
67.0000,0.0000,-5.6250,8.8560,
65.5000,0.0000,-6.7500,4.9940,
64.0000,0.0000,-7.8750,10.8870,
62.5000,0.0000,-9.0000,12.7800,
61.0000,0.0000,-10.1250,10.9121,
59.5000,0.0000,-11.2500,8.4907,
58.0000,0.0000,-12.3750,6.9707,
56.5000,0.0000,-13.5000,8.1557,
55.0000,0.0000,-14.6250,8.6300,
53.5000,0.0000,-15.7500,6.8222,
52.0000,0.0000,-16.8750,4.5734,
50.5000,0.0000,-18.0000,6.5949,
49.0000,0.0000,-19.1250,7.9889,
47.5000,0.0000,-20.2500,8.2468,
46.0000,0.0000,-21.3750,7.9100,
44.5000,0.0000,-22.5000,5.5169,
43.0000,0.0000,-23.6250,6.1932,
41.5000,0.0000,-24.7500,5.5129,
40.0000,0.0000,-25.8750,4.7625,
73.0000,0.0000,0.0000,
74.5000,0.0000,-1.1250,39.6102,
71.5000,0.0000,-1.1250,30.6872,
70.0000,0.0000,-2.2500,6.2969,
68.5000,0.0000,-3.3750,6.5849,
67.0000,0.0000,-4.5000,6.2758,
65.5000,0.0000,-5.6250,4.6791,
64.0000,0.0000,-6.7500,9.0522,
62.5000,0.0000,-7.8750,12.1545,
61.0000,0.0000,-9.0000,9.8705,
59.5000,0.0000,-10.1250,6.5118,
58.0000,0.0000,-11.2500,6.0023,
56.5000,0.0000,-12.3750,7.3532,
55.0000,0.0000,-13.5000,6.6824,
53.5000,0.0000,-14.6250,6.3569,
