X	Y	P
0.0000 -3.3375 105.4834
0.6675 -3.3375 105.6692
1.3350 -3.3375 105.4584
2.0025 -3.3375 105.3683
2.6700 -3.3375 102.1876
3.3375 -3.3375 96.2655
4.0050 -3.3375 94.9686
4.6725 -3.3375 96.2659
5.3400 -3.3375 97.6882
6.0075 -3.3375 97.6492
6.6750 -3.3375 94.6527
7.3425 -3.3375 93.8971
8.0100 -3.3375 95.3720
8.6775 -3.3375 98.8588
9.3450 -3.3375 102.8048
10.0125 -3.3375 106.0450
10.6800 -3.3375 108.9882
11.3475 -3.3375 110.0890
12.0150 -3.3375 109.3477
12.6825 -3.3375 110.5971
13.3500 -3.3375 115.4611
14.0175 -3.3375 118.4616
14.6850 -3.3375 114.0202
15.3525 -3.3375 106.7513
16.0200 -3.3375 101.1567
16.6875 -3.3375 97.5550
17.3550 -3.3375 94.9054
18.0225 -3.3375 92.1823
18.6900 -3.3375 89.6435
19.3575 -3.3375 88.0796
20.0250 -3.3375 86.3641
20.6925 -3.3375 82.8326
21.3600 -3.3375 81.2541
22.0275 -3.3375 88.8058
22.6950 -3.3375 101.4663
23.3625 -3.3375 106.6620
24.0300 -3.3375 101.1042
24.6975 -3.3375 94.0593
25.3650 -3.3375 92.2826
26.0325 -3.3375 94.7473
26.7000 -3.3375 101.2943
27.3675 -3.3375 107.6577
28.0350 -3.3375 109.3105
28.7025 -3.3375 107.8664
29.3700 -3.3375 108.3387
30.0375 -3.3375 111.7146
30.7050 -3.3375 113.0109
31.3725 -3.3375 108.3869
32.0400 -3.3375 100.4625
32.7075 -3.3375 91.1271
33.3750 -3.3375 83.0000
34.0425 -3.3375 78.3343
34.7100 -3.3375 77.6430
35.3775 -3.3375 85.3350
36.0450 -3.3375 101.1198
36.7125 -3.3375 112.3665
37.3800 -3.3375 109.3790
38.0475 -3.3375 103.1849
38.7150 -3.3375 103.7506
39.3825 -3.3375 107.5569
40.0500 -3.3375 108.2982
40.7175 -3.3375 104.4266
41.3850 -3.3375 99.2060
42.0525 -3.3375 94.0746
42.7200 -3.3375 87.2724
43.3875 -3.3375 77.9819
44.0550 -3.3375 69.3969
44.7225 -3.3375 64.6402
45.3900 -3.3375 65.0174
46.0575 -3.3375 74.1111
46.7250 -3.3375 88.5095
47.3925 -3.3375 99.8595
48.0600 -3.3375 104.7407
48.7275 -3.3375 105.8162
49.3950 -3.3375 104.7129
50.0625 -3.3375 104.2503
50.7300 -3.3375 106.9548
51.3975 -3.3375 109.7950
52.0650 -3.3375 108.6317
52.7325 -3.3375 103.9602
53.4000 -3.3375 98.8923
54.0675 -3.3375 95.0834
54.7350 -3.3375 93.4799
55.4025 -3.3375 95.1527
56.0700 -3.3375 96.6806
56.7375 -3.3375 94.5515
57.4050 -3.3375 91.8545
58.0725 -3.3375 94.0323
58.7400 -3.3375 100.2269
59.4075 -3.3375 107.7452
60.0750 -3.3375 115.8416
60.7425 -3.3375 122.9155
61.4100 -3.3375 121.5040
62.0775 -3.3375 117.1354
62.7450 -3.3375 118.1560
63.4125 -3.3375 123.5840
64.0800 -3.3375 128.8059
64.7475 -3.3375 125.5136
65.4150 -3.3375 119.2280
66.0825 -3.3375 112.6204
66.7500 -3.3375 117.2935
0.0000 -2.6700 103.7116
0.6675 -2.6700 105.7856
1.3350 -2.6700 108.3093
2.0025 -2.6700 108.8356
2.6700 -2.6700 108.5938
3.3375 -2.6700 92.1346
4.0050 -2.6700 94.1058
4.6725 -2.6700 96.1102
5.3400 -2.6700 98.7554
6.0075 -2.6700 100.9650
6.6750 -2.6700 92.1954
7.3425 -2.6700 91.6486
8.0100 -2.6700 92.2396
8.6775 -2.6700 97.6325
9.3450 -2.6700 103.0502
10.0125 -2.6700 106.6997
10.6800 -2.6700 110.7500
11.3475 -2.6700 111.2364
12.0150 -2.6700 107.5157
12.6825 -2.6700 106.7765
13.3500 -2.6700 116.9951
14.0175 -2.6700 127.1571
14.6850 -2.6700 116.9494
15.3525 -2.6700 105.6148
16.0200 -2.6700 99.8668
16.6875 -2.6700 96.6235
17.3550 -2.6700 93.8843
18.0225 -2.6700 92.0200
18.6900 -2.6700 89.8730
19.3575 -2.6700 88.4828
20.0250 -2.6700 87.0902
20.6925 -2.6700 79.8807
21.3600 -2.6700 71.2297
22.0275 -2.6700 83.4822
22.6950 -2.6700 108.9115
23.3625 -2.6700 119.2616
24.0300 -2.6700 102.9837
24.6975 -2.6700 88.3055
25.3650 -2.6700 88.8738
26.0325 -2.6700 89.4417
26.7000 -2.6700 100.4010
27.3675 -2.6700 112.2980
28.0350 -2.6700 112.4724
28.7025 -2.6700 106.3048
29.3700 -2.6700 105.6837
30.0375 -2.6700 113.9925
30.7050 -2.6700 120.3910
31.3725 -2.6700 111.9045
32.0400 -2.6700 103.4163
32.7075 -2.6700 91.3106
33.3750 -2.6700 78.2210
34.0425 -2.6700 71.1665
34.7100 -2.6700 68.5697
35.3775 -2.6700 76.4229
36.0450 -2.6700 104.6100
36.7125 -2.6700 128.9286
37.3800 -2.6700 112.8557
38.0475 -2.6700 96.7811
38.7150 -2.6700 101.7962
39.3825 -2.6700 110.9064
40.0500 -2.6700 111.6220
40.7175 -2.6700 106.1566
41.3850 -2.6700 100.8490
42.0525 -2.6700 96.2312
42.7200 -2.6700 90.9701
43.3875 -2.6700 77.4360
44.0550 -2.6700 63.9012
44.7225 -2.6700 58.4134
45.3900 -2.6700 54.6129
46.0575 -2.6700 66.8813
46.7250 -2.6700 91.2203
47.3925 -2.6700 107.9807
48.0600 -2.6700 108.6920
48.7275 -2.6700 109.0936
49.3950 -2.6700 104.9743
50.0625 -2.6700 100.8550
50.7300 -2.6700 106.5130
51.3975 -2.6700 114.3258
52.0650 -2.6700 112.8414
52.7325 -2.6700 104.4253
53.4000 -2.6700 97.3730
54.0675 -2.6700 93.1600
54.7350 -2.6700 89.6257
55.4025 -2.6700 95.0489
56.0700 -2.6700 100.4721
56.7375 -2.6700 94.8952
57.4050 -2.6700 86.9275
58.0725 -2.6700 88.0596
58.7400 -2.6700 98.7478
59.4075 -2.6700 108.2295
60.0750 -2.6700 115.1855
60.7425 -2.6700 134.6048
61.4100 -2.6700 123.1678
62.0775 -2.6700 111.7305
62.7450 -2.6700 115.1960
63.4125 -2.6700 121.7904
64.0800 -2.6700 139.8351
64.7475 -2.6700 128.2285
65.4150 -2.6700 119.6697
66.0825 -2.6700 117.3262
66.7500 -2.6700 116.3525
0.0000 -2.0025 130.2802
0.6675 -2.0025 104.1038
1.3350 -2.0025 106.8264
2.0025 -2.0025 108.9276
2.6700 -2.0025 108.6777
3.3375 -2.0025 108.4260
4.0050 -2.0025 93.3472
4.6725 -2.0025 95.4169
5.3400 -2.0025 97.8724
6.0075 -2.0025 100.1589
6.6750 -2.0025 92.3254
7.3425 -2.0025 91.7712
8.0100 -2.0025 91.2383
8.6775 -2.0025 96.3829
9.3450 -2.0025 101.8754
10.0125 -2.0025 106.1102
10.6800 -2.0025 110.1827
11.3475 -2.0025 111.7447
12.0150 -2.0025 108.0057
12.6825 -2.0025 105.3263
13.3500 -2.0025 115.6008
14.0175 -2.0025 125.8808
14.6850 -2.0025 118.4045
15.3525 -2.0025 107.0189
16.0200 -2.0025 100.2268
16.6875 -2.0025 96.9726
17.3550 -2.0025 94.0977
18.0225 -2.0025 92.2267
18.6900 -2.0025 90.1777
19.3575 -2.0025 88.7737
20.0250 -2.0025 87.3684
20.6925 -2.0025 80.5848
21.3600 -2.0025 71.9188
22.0275 -2.0025 81.2423
22.6950 -2.0025 106.7259
23.3625 -2.0025 120.6332
24.0300 -2.0025 104.3234
24.6975 -2.0025 88.3326
25.3650 -2.0025 88.8985
26.0325 -2.0025 89.4641
26.7000 -2.0025 99.2406
27.3675 -2.0025 111.1679
28.0350 -2.0025 113.1041
28.7025 -2.0025 106.9198
29.3700 -2.0025 105.0014
30.0375 -2.0025 113.3255
30.7050 -2.0025 121.0711
31.3725 -2.0025 112.5695
32.0400 -2.0025 104.0671
32.7075 -2.0025 92.1495
33.3750 -2.0025 79.0449
34.0425 -2.0025 71.3521
34.7100 -2.0025 68.7516
35.3775 -2.0025 74.6103
36.0450 -2.0025 102.8298
36.7125 -2.0025 129.9623
37.3800 -2.0025 113.8707
38.0475 -2.0025 97.7783
38.7150 -2.0025 101.2445
39.3825 -2.0025 110.3640
40.0500 -2.0025 111.8893
40.7175 -2.0025 106.4203
41.3850 -2.0025 101.1148
42.0525 -2.0025 96.4928
42.7200 -2.0025 91.6841
43.3875 -2.0025 78.1395
44.0550 -2.0025 64.5944
44.7225 -2.0025 58.5962
45.3900 -2.0025 54.7932
46.0575 -2.0025 65.7094
46.7250 -2.0025 90.0642
47.3925 -2.0025 107.9456
48.0600 -2.0025 108.6575
48.7275 -2.0025 109.2663
49.3950 -2.0025 105.1450
50.0625 -2.0025 101.0237
50.7300 -2.0025 106.1609
51.3975 -2.0025 113.9781
52.0650 -2.0025 113.2105
52.7325 -2.0025 104.7898
53.4000 -2.0025 97.5502
54.0675 -2.0025 93.3350
54.7350 -2.0025 89.4070
55.4025 -2.0025 94.8326
56.0700 -2.0025 100.2583
56.7375 -2.0025 95.2131
57.4050 -2.0025 87.2418
58.0725 -2.0025 87.6420
58.7400 -2.0025 98.3349
59.4075 -2.0025 107.9633
60.0750 -2.0025 114.9223
60.7425 -2.0025 135.0362
61.4100 -2.0025 123.5947
62.0775 -2.0025 112.1528
62.7450 -2.0025 114.9494
63.4125 -2.0025 121.5464
64.0800 -2.0025 140.2584
64.7475 -2.0025 128.6474
65.4150 -2.0025 119.7533
66.0825 -2.0025 117.4091
66.7500 -2.0025 116.0238
0.0000 -1.3350 137.9873
0.6675 -1.3350 102.8052
1.3350 -1.3350 105.7019
2.0025 -1.3350 108.6407
2.6700 -1.3350 108.7393
3.3375 -1.3350 108.4823
4.0050 -1.3350 92.7884
4.6725 -1.3350 94.9088
5.3400 -1.3350 97.2221
6.0075 -1.3350 99.5682
6.6750 -1.3350 92.4191
7.3425 -1.3350 91.8596
8.0100 -1.3350 91.2996
8.6775 -1.3350 95.4782
9.3450 -1.3350 101.0264
10.0125 -1.3350 105.6874
10.6800 -1.3350 109.7758
11.3475 -1.3350 112.1093
12.0150 -1.3350 108.3571
12.6825 -1.3350 104.6080
13.3500 -1.3350 114.6002
14.0175 -1.3350 124.9176
14.6850 -1.3350 119.4481
15.3525 -1.3350 108.0256
16.0200 -1.3350 100.4847
16.6875 -1.3350 97.2227
17.3550 -1.3350 94.2506
18.0225 -1.3350 92.3747
18.6900 -1.3350 90.4986
19.3575 -1.3350 88.9827
20.0250 -1.3350 87.5682
