电流	  ,电压1	  ,电压2	  ,电压3	  ,电压4	  ,电压5	  ,电压6	  ,电压7	  ,电压8	  ,电压9	  ,电压10	  ,电压11	  ,电压12	  ,电压13	  ,电压14	  ,电压15	  ,电压16	  ,电压17	  ,电压18	  ,电压19	  ,电压20	  ,电压21	  ,电压22	  ,电压23	  ,电压24	  ,电压25	  ,电压26	  ,电压27	  ,电压28	  ,电压29	  ,电压30	  ,电压31	  ,电压32	  ,电压33	  ,电压34	  ,电压35	  ,电压36	  ,电压37	  ,电压38	  ,电压39	  ,电压40	  ,电压41	  ,电压42	  ,电压43	  ,电压44	  ,电压45	  ,电压46	  ,电压47	  ,电压48	  ,
56.2246056	,0.0000000	,148.8036499	,44.4869270	,20.8011417	,9.6533451	,5.3762360	,3.5187988	,2.2361526	,1.6007557	,0.9054642	,0.2623634	,-0.3195534	,-1.0102234	,-1.9614067	,-1.6259041	,-1.6044235	,-1.5829430	,-1.5710068	,-1.4620667	,-1.3762779	,-1.4204597	,-1.4541550	,-1.5900497	,-1.7453823	,-1.9007149	,-2.0373993	,-2.0941277	,-2.1426964	,-2.1156311	,-2.1137505	,-2.0480576	,-2.0566559	,-2.0652542	,-1.9326439	,-1.7947693	,-1.7649803	,-1.8819885	,-1.9608078	,-1.9664001	,-1.9602509	,-1.9541016	,-1.9361963	,-2.1101341	,-2.4989395	,-3.0569129	,-2.6684761	,-2.5983505	,-3.0976543	,
100.7294006	,269.4467773	,0.0000000	,242.5467834	,89.8684387	,36.6593018	,19.0488129	,12.5049591	,8.5227776	,6.6933346	,5.0034370	,3.5868721	,2.3879623	,0.9705963	,-0.7830544	,-0.2853127	,-0.3016968	,-0.3180809	,-0.3230476	,-0.1746521	,-0.0584812	,-0.1566849	,-0.2249832	,-0.4620667	,-0.7328234	,-1.0035801	,-1.2674150	,-1.3400745	,-1.4265594	,-1.3820934	,-1.3739357	,-1.2525520	,-1.2643852	,-1.2762184	,-0.9664803	,-0.6791763	,-0.7315140	,-0.9682655	,-1.1266975	,-1.1493607	,-1.1558914	,-1.1624222	,-1.1300936	,-1.4325829	,-2.0914288	,-3.0220947	,-2.3622742	,-2.2545586	,-3.0986176	,
90.8528061	,75.6716309	,220.3322449	,0.0000000	,264.3738403	,85.7242279	,37.3755875	,21.5528870	,13.6592407	,10.2156219	,7.6750336	,5.8076820	,4.3577499	,2.6894684	,0.8594093	,1.1842499	,1.0582886	,0.9323273	,0.8869362	,0.9638290	,1.0155983	,0.8980103	,0.8286247	,0.6123772	,0.3662930	,0.1202087	,-0.1210251	,-0.1946383	,-0.2845955	,-0.2596359	,-0.2681427	,-0.1695900	,-0.1738586	,-0.1781273	,0.0409050	,0.2461319	,0.2292404	,0.0265732	,-0.1147995	,-0.1289711	,-0.1393890	,-0.1498070	,-0.1295404	,-0.3945694	,-0.9777279	,-1.7957579	,-1.2196617	,-1.1217728	,-1.8692093	,
104.8448029	,43.7068710	,95.2471008	,305.4983215	,0.0000000	,290.8555298	,100.8898468	,49.1969223	,27.3615570	,18.7038212	,13.4343529	,10.0388260	,7.6678429	,5.0505981	,2.4958344	,2.7124519	,2.4481888	,2.1839256	,2.0796356	,2.1054420	,2.1102142	,1.9313850	,1.8362961	,1.5714645	,1.2723045	,0.9731445	,0.6798630	,0.5855227	,0.4657211	,0.4810505	,0.4550457	,0.5504475	,0.5385838	,0.5267200	,0.7630520	,0.9877033	,0.9870853	,0.7563763	,0.5922832	,0.5776653	,0.5656071	,0.5535488	,0.5766659	,0.2659588	,-0.4151440	,-1.3783219	,-0.7004642	,-0.5882244	,-1.4638710	,
116.7569275	,26.6969185	,45.4575996	,112.0695419	,325.6282959	,0.0000000	,310.7174072	,121.6342316	,57.0865555	,34.3852768	,22.7789574	,16.2673111	,12.3121910	,8.2617035	,4.8050308	,4.7495193	,4.2510605	,3.7526016	,3.5578613	,3.4862137	,3.4048653	,3.1486969	,3.0271759	,2.7189484	,2.3740053	,2.0290623	,1.6951981	,1.5799828	,1.4297504	,1.4250412	,1.3800411	,1.4625645	,1.4389400	,1.4153156	,1.7146549	,2.0047131	,1.9588718	,1.7057552	,1.5212688	,1.4991436	,1.4792271	,1.4593105	,1.4801931	,1.1430988	,0.4044361	,-0.6312109	,0.0902424	,0.2191334	,-0.7309990	,
116.9016800	,18.0344620	,25.3041954	,50.1713333	,113.8762817	,311.9054565	,0.0000000	,358.3730774	,134.0546875	,68.7229004	,40.3719254	,26.4050789	,19.1310310	,12.3695297	,7.4480438	,6.8457718	,5.9543152	,4.7070160	,4.3740387	,4.1492043	,3.9330273	,3.5830994	,3.4344559	,3.0907707	,2.7107458	,2.2804317	,1.9105387	,1.7739067	,1.5886116	,1.5565472	,1.4808502	,1.5428009	,1.5118141	,1.4808273	,1.7499313	,2.0124474	,1.9943237	,1.7450600	,1.5568008	,1.5371933	,1.5175018	,1.4978104	,1.5159302	,1.1702766	,0.4078217	,-0.6767293	,0.0668678	,0.2078476	,-0.7796478	,
116.4155121	,14.0116787	,17.5572395	,29.4731140	,55.6640930	,121.4672775	,356.1011963	,0.0000000	,340.9447937	,144.3989258	,74.7374115	,44.1016922	,30.1501122	,18.3766785	,11.0361137	,9.4330139	,7.9015465	,6.1729622	,5.6200333	,5.1279297	,4.5782166	,4.1415024	,4.0456924	,3.6800117	,3.2647104	,2.8012962	,2.3925743	,2.2266045	,1.9940739	,1.9150944	,1.7928505	,1.8203506	,1.7761040	,1.7318573	,1.9951096	,2.2503281	,2.2109642	,1.9568253	,1.7685471	,1.7446976	,1.7188530	,1.6930084	,1.7066269	,1.3599625	,0.6106110	,-0.4801040	,0.2410583	,0.3955383	,-0.5930252	,
115.9807053	,12.0157948	,13.5518436	,20.1447392	,32.4160004	,58.5993767	,136.0061646	,348.7402954	,0.0000000	,375.8285522	,159.5254517	,82.0718842	,52.0943413	,29.4612885	,17.3757439	,13.8793106	,11.2297859	,8.6794968	,7.7929726	,6.9815140	,6.3053970	,5.6230507	,5.3720932	,4.9273987	,4.4522610	,3.9444695	,3.4859324	,3.2840986	,2.9967289	,2.8730316	,2.7003555	,2.6861115	,2.6215401	,2.5569687	,2.8559608	,3.1536598	,3.0628128	,2.7962799	,2.5994072	,2.5729599	,2.5414391	,2.5099182	,2.5127573	,2.1523285	,1.3667698	,0.2061303	,0.9735298	,1.1302528	,0.0880508	,
120.2312851	,10.4949780	,11.2035275	,15.5664978	,22.7161674	,35.8441277	,70.6219940	,149.5489807	,388.3118286	,0.0000000	,408.3275757	,163.3766632	,92.9858093	,47.6183319	,26.6159706	,19.6320114	,15.0898094	,11.2587357	,9.8431206	,8.5112534	,7.4538727	,6.4919014	,6.1540108	,5.6163750	,5.0570211	,4.4763088	,3.9411497	,3.6902142	,3.3274288	,3.1439705	,2.9120674	,2.8549538	,2.7777977	,2.7006416	,3.0308571	,3.3368340	,3.1898994	,2.8928871	,2.6771164	,2.6429634	,2.6008072	,2.5586510	,2.5549231	,2.1667137	,1.3235455	,0.0599014	,0.8858604	,1.0520515	,-0.0664387	,
