电流	  ,电压1	  ,电压2	  ,电压3	  ,电压4	  ,电压5	  ,电压6	  ,电压7	  ,电压8	  ,电压9	  ,电压10	  ,电压11	  ,电压12	  ,电压13	  ,电压14	  ,电压15	  ,电压16	  ,电压17	  ,电压18	  ,电压19	  ,电压20	  ,电压21	  ,电压22	  ,电压23	  ,电压24	  ,电压25	  ,电压26	  ,电压27	  ,电压28	  ,电压29	  ,电压30	  ,电压31	  ,电压32	  ,电压33	  ,电压34	  ,电压35	  ,电压36	  ,电压37	  ,电压38	  ,电压39	  ,电压40	  ,电压41	  ,电压42	  ,电压43	  ,电压44	  ,电压45	  ,电压46	  ,电压47	  ,电压48	  ,
167.1271210	,25.9927521	,135.1767426	,57.1360626	,20.2446899	,6.9312057	,3.0226898	,-1.8197060	,-6.3750992	,-10.8620300	,-15.0439758	,-18.4350395	,-21.3882904	,-24.0083847	,-26.5166321	,-27.9780884	,-29.4637756	,-30.5510559	,-32.0090561	,-33.2773438	,-33.8553314	,-34.1976242	,-34.5680237	,-35.2063675	,-35.4252930	,-35.6442184	,-36.0803680	,-36.6501389	,-36.6651382	,-37.0450478	,-37.3260498	,-37.5493469	,-37.7256622	,-37.9836578	,-38.2189064	,-38.3007355	,-38.5157776	,-38.6339493	,-38.9705505	,-38.9646301	,-39.0937119	,-39.2227936	,-38.4130173	,-38.4623642	,-38.6820297	,-38.7564468	,-39.0961380	,-39.2818527	,-39.6954575	,
174.2584229	,145.2521362	,9.2157106	,205.0207825	,55.4332123	,28.7396469	,22.8395920	,15.4348602	,8.6774139	,2.5364981	,-3.0682983	,-7.5203762	,-11.3631287	,-14.6741028	,-17.8353729	,-19.6943665	,-21.5487518	,-22.8929977	,-24.6669769	,-26.1972713	,-26.8932800	,-27.3095322	,-27.7530823	,-28.5083694	,-28.7736969	,-29.0390244	,-29.4972630	,-30.2202301	,-30.1713238	,-30.6814575	,-30.9697113	,-31.2296791	,-31.4113464	,-31.5930138	,-31.8297997	,-31.9528503	,-32.2009239	,-32.3484688	,-32.7349358	,-32.7436638	,-32.8768959	,-33.0101280	,-32.0388985	,-32.0911560	,-32.4917336	,-32.7510719	,-33.2819405	,-33.3165932	,-33.6265297	,
153.0918427	,50.4296188	,114.7541962	,-37.5848083	,155.1659241	,55.7253723	,47.1520500	,34.0711823	,24.5885925	,16.7044411	,9.8590851	,4.5759163	,0.0963364	,-3.6073608	,-7.1537209	,-9.2389297	,-11.2849693	,-12.7274094	,-14.6210556	,-16.2315884	,-16.9601002	,-17.3959808	,-17.8448792	,-18.6249924	,-18.8965912	,-19.1681900	,-19.6379776	,-20.3776169	,-20.3253593	,-20.8212337	,-21.1114235	,-21.3846512	,-21.5576172	,-21.7305832	,-21.9409256	,-22.0877972	,-22.3000412	,-22.4800797	,-22.8633137	,-22.8646317	,-22.9638538	,-23.0630760	,-22.3168221	,-22.3691216	,-22.6670341	,-22.8523827	,-23.3002586	,-23.5011864	,-23.8536186	,
174.2713928	,37.5669518	,64.1145630	,130.2782593	,2.2265911	,115.2391510	,97.6774292	,63.4890900	,45.7149887	,33.0365219	,22.8179169	,15.1041689	,8.7179031	,3.4701233	,-1.3827934	,-4.2812195	,-7.0154724	,-8.9436951	,-11.4738636	,-13.5958920	,-14.5488138	,-15.1191254	,-15.7018127	,-16.7090874	,-17.0575562	,-17.4060249	,-17.9930763	,-18.9664421	,-18.8766403	,-19.5168610	,-19.8779068	,-20.2288990	,-20.4424248	,-20.6559505	,-20.9013538	,-21.0995235	,-21.3468533	,-21.6088619	,-22.1029377	,-22.0997219	,-22.2005043	,-22.3012867	,-21.1341457	,-21.2135849	,-21.5576458	,-21.8139782	,-22.3844585	,-22.6349621	,-23.0686016	,
181.8832855	,27.8289871	,42.3715210	,62.7196350	,118.5419312	,-18.1561432	,239.3841858	,130.6201782	,77.0037613	,53.6443596	,38.3731995	,27.7854939	,19.1465607	,12.1974106	,5.9612617	,2.1551208	,-1.3142586	,-3.7882843	,-6.9360371	,-9.5717049	,-10.7442589	,-11.4457703	,-12.1598740	,-13.3651123	,-13.7912445	,-14.2173767	,-14.8952122	,-16.0815811	,-15.9384327	,-16.7064171	,-17.1236572	,-17.5441837	,-17.7849121	,-18.0256405	,-18.2911873	,-18.5367661	,-18.8254757	,-19.1448879	,-19.7387295	,-19.7304440	,-19.8265038	,-19.9225636	,-18.5435352	,-18.6405334	,-19.0202198	,-19.3375874	,-20.0172749	,-20.3071613	,-20.8002796	,
169.3355713	,23.4935589	,35.4021187	,51.2347717	,97.8085785	,223.1849976	,13.6846323	,186.2721100	,86.8193283	,56.5810890	,40.1046600	,29.1192436	,20.5034790	,13.6530380	,7.5862923	,3.8910294	,0.5725193	,-1.7586823	,-4.7613907	,-7.2404461	,-8.3514614	,-9.0216675	,-9.6911392	,-10.8369217	,-11.2375946	,-11.6382675	,-12.2798023	,-13.3828735	,-13.2664509	,-13.9817104	,-14.3750992	,-14.7670593	,-14.9932404	,-15.2194214	,-15.4657784	,-15.7037153	,-15.9201660	,-16.2591095	,-16.8021679	,-16.7964630	,-16.8886909	,-16.9809189	,-15.8255615	,-15.9241276	,-16.2735596	,-16.5716095	,-17.1865234	,-17.4601898	,-17.9154205	,
160.0173492	,19.1088142	,28.1747303	,38.9440918	,63.1758804	,117.0487976	,175.7482910	,-15.0939512	,161.1999359	,76.6422653	,50.2902527	,36.1848297	,25.9304810	,18.1370544	,11.4447861	,7.3356400	,3.7335243	,1.2181091	,-1.9651871	,-4.5720291	,-5.7454700	,-6.4513168	,-7.1514053	,-8.3313446	,-8.7492981	,-9.1672516	,-9.8110609	,-10.9345703	,-10.8132896	,-11.5379114	,-11.9356117	,-12.3334084	,-12.5559692	,-12.7785301	,-13.0188942	,-13.2577686	,-13.5002098	,-13.8220329	,-14.3617201	,-14.3602867	,-14.4419403	,-14.5235939	,-13.2800255	,-16.0107651	,-13.7365379	,-14.0372581	,-14.6602287	,-14.9308434	,-15.3790703	,
142.5195923	,14.3381920	,20.8665581	,28.2283783	,42.9394379	,63.4844208	,74.6310196	,141.2882996	,-9.0918837	,143.4425049	,68.2840271	,45.0092545	,31.6023941	,22.5146637	,15.2046318	,10.6974869	,6.9268932	,4.3119812	,1.1138992	,-1.4797058	,-2.6535311	,-3.3601685	,-4.0540314	,-5.1939430	,-5.6041565	,-6.0143700	,-6.6437931	,-7.7114449	,-7.6075096	,-8.2960567	,-8.6719398	,-9.0494442	,-9.2583275	,-9.4672108	,-9.6860600	,-9.9166660	,-10.1463032	,-10.4378376	,-10.9394588	,-10.9395924	,-11.0123234	,-11.0850544	,-10.3368540	,-10.0904684	,-10.7381601	,-11.0302591	,-11.6015635	,-11.8579721	,-12.2564096	,
178.7977448	,15.3379593	,21.9792728	,29.3182983	,42.9162292	,58.8917084	,64.3123398	,87.7737732	,179.2403107	,1.1294780	,192.7250977	,91.7445374	,57.7025223	,40.0224419	,27.5611305	,20.0333328	,14.1242886	,10.1312714	,5.4196939	,1.6629677	,-0.0324326	,-1.0595856	,-2.0483780	,-3.6340103	,-4.2164764	,-4.7989426	,-5.6571560	,-7.1111298	,-6.9823246	,-7.9193974	,-8.4210587	,-8.9316196	,-9.2198944	,-9.5081692	,-9.7889118	,-10.1039810	,-10.4007168	,-10.7950039	,-11.4508085	,-11.4541531	,-11.5259342	,-11.5977154	,-10.1583920	,-10.1836987	,-10.7861576	,-11.1625919	,-11.8945408	,-12.2281590	,-12.7448521	,
