电流	  ,电压1	  ,电压2	  ,电压3	  ,电压4	  ,电压5	  ,电压6	  ,电压7	  ,电压8	  ,电压9	  ,电压10	  ,电压11	  ,电压12	  ,电压13	  ,电压14	  ,电压15	  ,电压16	  ,电压17	  ,电压18	  ,电压19	  ,电压20	  ,电压21	  ,电压22	  ,电压23	  ,电压24	  ,电压25	  ,电压26	  ,电压27	  ,电压28	  ,电压29	  ,电压30	  ,电压31	  ,电压32	  ,电压33	  ,电压34	  ,电压35	  ,电压36	  ,电压37	  ,电压38	  ,电压39	  ,电压40	  ,电压41	  ,电压42	  ,电压43	  ,电压44	  ,电压45	  ,电压46	  ,电压47	  ,电压48	  ,
56.7708168	,9.5184441	,285.2733765	,28.6124649	,11.7173920	,7.7487640	,4.2920609	,3.1019745	,1.4470329	,-0.1376858	,-1.4626999	,-0.9132919	,-0.3358612	,-0.0662537	,-0.5283737	,-0.5806103	,-0.9667358	,-0.8941765	,-1.5062618	,-1.4714966	,-1.3833942	,-1.4665432	,-1.4427376	,-1.4445267	,-1.5904312	,-1.6682129	,-1.7684174	,-1.7631073	,-1.8393478	,-1.8215790	,-1.9537430	,-2.0340271	,-1.9557095	,-1.8773918	,-1.8361015	,-1.8879833	,-1.9301825	,-2.0183525	,-2.2102776	,-2.1523590	,-2.2453194	,-2.3382797	,-2.6261749	,-2.8766060	,-2.8052826	,-3.8076172	,-5.3103638	,-10.8870277	,-231.8497162	,
52.4072456	,260.4914551	,19.5702019	,99.8337173	,18.3427467	,10.4167328	,5.8701096	,4.4358597	,2.4924412	,0.8164635	,-0.6004791	,-0.1081543	,0.5279465	,0.8128357	,0.3634186	,0.2702980	,-0.1212578	,-0.0918045	,-0.6845207	,-0.5469513	,-0.5734100	,-0.6558018	,-0.6770554	,-0.6869621	,-0.8257904	,-0.9982910	,-0.9971085	,-0.9865417	,-1.0575714	,-1.0462837	,-1.1637497	,-1.2516479	,-1.1785202	,-1.1053925	,-1.0778465	,-1.1433811	,-1.1825409	,-1.2404251	,-1.4015121	,-1.3607063	,-1.4442406	,-1.5277748	,-1.7827950	,-2.0083199	,-1.9379997	,-2.8044243	,-4.0969963	,-8.7799110	,-193.8057556	,
43.4705238	,20.7928658	,78.0781631	,21.2136803	,69.5809937	,20.2664795	,9.7624588	,6.7286072	,4.1039581	,1.4467812	,-0.5312347	,0.1583023	,0.9959068	,1.3307495	,0.7254677	,0.5860176	,0.0550976	,-0.1281662	,-0.9239998	,-0.6900177	,-0.7251816	,-0.8617916	,-0.8442688	,-0.8321095	,-1.0214767	,-1.1304626	,-1.2199783	,-1.1808243	,-1.2416153	,-1.2381096	,-1.3753510	,-1.5365448	,-1.4066830	,-1.2523041	,-1.1748543	,-1.1892433	,-1.1922626	,-1.2315826	,-1.3626251	,-1.4009171	,-1.5046501	,-1.5566406	,-1.7409058	,-1.9246407	,-1.9426880	,-2.5758972	,-3.6038666	,-7.3070984	,-153.9004974	,
55.2131500	,11.3514252	,17.9100266	,84.5339661	,-9.1842422	,114.2273407	,27.8077240	,15.3838654	,9.0305710	,3.9720802	,0.3607140	,1.5484695	,2.7804642	,3.2999115	,2.2857552	,1.9598007	,1.0588245	,0.6072922	,-0.7123051	,-0.5461884	,-0.4919643	,-0.6370010	,-0.6291084	,-0.5925674	,-0.8241196	,-1.1223145	,-1.0951462	,-1.0357285	,-1.1106567	,-1.1278496	,-1.2992172	,-1.5355835	,-1.3724632	,-1.1906967	,-1.1041946	,-1.1258583	,-1.1401863	,-1.1987915	,-1.3408661	,-1.4097252	,-1.5340233	,-1.6030807	,-1.8048172	,-2.0249786	,-2.0578308	,-2.8154449	,-4.1014404	,-8.7319946	,-192.8262787	,
62.9846115	,9.1088715	,11.9037342	,29.1166725	,127.9106445	,-30.2862549	,90.9466248	,30.4213257	,15.8998213	,7.2119446	,1.6323967	,3.2589874	,4.9375458	,5.5523376	,4.0880661	,3.6156635	,2.3704243	,1.6709480	,-0.0549374	,0.3113861	,0.3073387	,0.0903244	,0.0846939	,0.0840855	,-0.2911301	,-0.5815125	,-0.6724091	,-0.5921631	,-0.6692886	,-0.6926117	,-0.9386139	,-1.2451172	,-1.0459957	,-0.8554764	,-0.7535210	,-0.7836895	,-0.7966166	,-0.8786316	,-1.0194092	,-1.1327667	,-1.2742233	,-1.3692474	,-1.5910110	,-1.8439960	,-1.8767395	,-2.7532349	,-4.2402649	,-9.5562229	,-221.3889618	,
66.1449432	,6.7018795	,8.2818127	,16.2016830	,33.9462433	,94.1497955	,-19.4550495	,75.3312378	,25.2291908	,10.2605667	,2.9934998	,4.6699295	,6.3652115	,6.8621826	,5.2878609	,4.6870937	,3.3702846	,2.6352005	,0.9396896	,1.4835052	,1.2136345	,0.9457703	,0.8883972	,0.8621082	,0.5098877	,0.2433777	,0.1341629	,0.2053375	,0.1079559	,0.0674324	,-0.1182404	,-0.3996735	,-0.2270947	,-0.0051880	,0.0752335	,0.0385361	,0.0125618	,-0.0740967	,-0.2097321	,-0.3106880	,-0.4424744	,-0.5309753	,-0.7709122	,-1.0361376	,-1.0483017	,-1.9800873	,-3.5558319	,-9.1577339	,-232.1734772	,
68.7268753	,5.8134422	,6.9723797	,12.6294956	,20.5196457	,33.5937805	,75.7649536	,-24.1962948	,84.8020630	,21.0075092	,5.2023010	,6.9913101	,8.9886169	,9.2633820	,7.2408447	,6.2965088	,4.5987592	,3.5665359	,1.5053921	,1.8358154	,1.6693420	,1.3772259	,1.3581352	,1.3765793	,0.9871902	,0.7882080	,0.5765610	,0.6482239	,0.5462570	,0.4972572	,0.2981796	,-0.0072327	,0.1787910	,0.4105377	,0.4966087	,0.4538288	,0.4236555	,0.3328857	,0.1873169	,0.0689545	,-0.0884438	,-0.1782532	,-0.4399490	,-0.7216043	,-0.7345886	,-1.7207489	,-3.3933105	,-9.3191357	,-246.7482758	,
72.7726135	,4.9014692	,5.7154503	,9.7225628	,14.3919373	,20.1127319	,27.8118286	,87.5328369	,13.2864990	,72.6795502	,10.0710602	,10.5085373	,12.1973228	,11.6519775	,9.4865303	,7.8693085	,5.8067594	,4.5505447	,2.2391758	,2.5331268	,2.4688168	,2.2054234	,2.1270103	,2.0781736	,1.4756088	,1.3653564	,1.2128983	,1.2688675	,1.1557388	,1.1012039	,0.9076614	,0.6199341	,0.7686996	,0.9174652	,0.9814110	,0.9284115	,0.8342915	,0.7628937	,0.6025391	,0.5096321	,0.3668442	,0.4115906	,0.1051483	,-0.2126760	,-0.1709213	,-1.3240356	,-3.2161407	,-9.8998146	,-276.8651733	,
75.1568604	,3.7634525	,4.1518822	,6.4148102	,8.8567657	,11.4015656	,13.1007385	,23.6329041	,73.8552551	,14.8410177	,28.7155037	,16.8943253	,15.3877449	,12.2682495	,12.8139114	,8.4535408	,6.0400434	,4.8452759	,2.9091244	,3.0967407	,2.9353657	,2.6440296	,2.5667152	,2.5446358	,2.2312775	,2.1301270	,1.8695679	,1.8805389	,1.7740326	,1.7281494	,1.5942612	,1.4331818	,1.4896317	,1.5460815	,1.5441856	,1.4631157	,0.4360743	,1.3779373	,1.1392899	,1.1137352	,0.9822159	,0.8506966	,0.4943657	,0.1559763	,0.2875786	,-0.9951057	,-3.0141182	,-10.0496960	,-290.9408875	,
